vo_adv_1225001_000.m4a|青い空、白い雲……風は穏やかで、天気は晴朗なれども。さて、どうしたものかな……
vo_adv_2108007_024.m4a|ああ、ならば──
vo_adv_2108007_025.m4a|ここは、私が切り拓く！スラッシュテンペストッ！
vo_adv_2108007_042.m4a|しまった！後ろの{player}を狙うか！
vo_adv_2108007_045.m4a|致命傷は防いでいる！だがっ──
vo_adv_2108007_055.m4a|なんとか倒せた……か。
vo_adv_2108007_075.m4a|落ち着くんだ！我々を動揺させるための、虚言かもしれない……！
vo_adv_2108007_079.m4a|ユイ、魔力はまだ残ってる？
vo_adv_2108007_087.m4a|な、何っ！？
vo_adv_2108008_017.m4a|肉体強化か！？すさまじい闘気だ……！
vo_adv_2108008_025.m4a|ヒヨリ！なんて無茶を！
vo_adv_2108008_033.m4a|剣圧の衝撃波だけで、攻撃魔法を浴びているようだ……！
vo_adv_2108008_048.m4a|まさに、ケタ外れの強さだ……
vo_adv_2108008_064.m4a|スラッシュハリケーン！！
vo_adv_2108008_066.m4a|そうだ……！まだ、私たちは全てを出し切っていない。このまま地に伏せているわけにはいかない……！
vo_adv_2108010_023.m4a|く……
vo_adv_2108010_047.m4a|……動きが、止まった？
vo_adv_2108010_048.m4a|今だっ……！
vo_adv_2108010_049.m4a|──スラッシュストーム！！
vo_adv_2108010_051.m4a|【レイジ・レギオン】のゼーン！仲間の願いを叶えてやりたいという──あなたはもしかしたら、悪い人ではないのかもしれない……！
vo_adv_2108010_052.m4a|だがっ！そのために、たくさんの人々を傷つけるなど……断じて認めるわけにはいかないんだ！
vo_adv_2108010_053.m4a|──グロリアステンペスト！！
vo_adv_2108010_072.m4a|もう……こちらも、力が……っ！
vo_adv_2108010_079.m4a|いや……！ゼーンの側も、覚醒が解け……極度に消耗している！
vo_adv_2108010_081.m4a|一方で、{player}はほとんど無傷だ。これなら、勝負になるかも……！
vo_adv_2108010_097.m4a|だが──なぜ剣を捨てたっ？
vo_adv_2108010_102.m4a|まさか、相打ち狙いかっ！？
vo_adv_2108099_029.m4a|……ぷはっ！ハァ、ハァ……！
vo_adv_2108099_033.m4a|潮もひどくうねっているし、見かけ以上に水深も深い。彼だって多少は泳げるはずだけど、これじゃあ……！
vo_adv_2108099_053.m4a|潮の流れが、変わった……！？
vo_adv_2108099_067.m4a|これは一体……！
vo_adv_2109004_003.m4a|まさか、溺れかけた{player}を助けてくれるなんて……
vo_adv_2109004_014.m4a|それじゃあユイ。ギルドハウスに作った、空間跳躍の魔法陣を開いてもらえる？
vo_adv_2109004_024.m4a|……ゼーンの口ぶりでは、私たちがネネカたちを取り返すためにこの島へ来たことはあらかじめ知っていたようだった。と、いうことは……
vo_adv_2109004_034.m4a|ただでさえ……戻っても、ろくに戦えるかわからないというのに……！
vo_adv_2109004_096.m4a|本当か！？良かった……！
vo_adv_2109004_104.m4a|そんなことをしている場合なの？……って、言いたいところだけど……
vo_adv_2109004_113.m4a|そうだね。拍子抜けするくらいあっさりと、最深部まで侵入できてしまった。
vo_adv_2109004_116.m4a|でも、普通の建築法で建てられたものじゃないことは確かだよ。妙に広い……というより、外観と内部の構造がまるで一致していないようだが……
vo_adv_2109004_131.m4a|ああ。彼は本当に強敵だった。脱落者無しで退けられただけでも、ひとまず御の字だよ。
vo_adv_2109004_141.m4a|……！結晶の中に、誰か閉じ込められてる……！
vo_adv_2109006_028.m4a|……そ、その。忠告、感謝する。だが……
vo_adv_2109006_036.m4a|プライドの高い人物のようだからね。敗北が、よほど堪えたんだろう。
vo_adv_2109006_048.m4a|泳ぐって……川を渡るんじゃないんだから。街まで何キロあると思ってるの、ヒヨリ。
vo_adv_2109006_083.m4a|いやいや。{player}に抱き付いていたのは、あなたのほうだろう？
vo_adv_2109006_095.m4a|状況的には、そう考えるのが自然だが……
vo_adv_2109006_100.m4a|ああ。戦力としては申し分ないかもしれないけれど、敵の狙いは、あなたがた七冠なのだから。
vo_adv_2109008_053.m4a|そうだね……ネネカをどこにやったのか、聞かなくてはいけないし。そこは、交渉になるかな。
vo_adv_2109008_069.m4a|ん……思い返せば。彼らの拠点の孤島で戦ったとき、シェフィに対してはわずかに攻撃が鈍っていたかもしれない。
vo_adv_2109008_070.m4a|あれは手加減などではなく、ゼーン自身の戸惑いが、剣に乗ってしまったからだったのか……
vo_adv_2109008_089.m4a|まだ気を抜かない方が良い──って、言いたいところだけれど。【レイジ・レギオン】を倒せたんだから、これで、戦いは終わる……のかな。
vo_adv_2109009_004.m4a|貴様……！何故、ユイを撃った！？
vo_adv_2109009_006.m4a|……っ……なんだ……？この違和感は……
vo_adv_2109009_011.m4a|……魔力もそうだが。何故だ？私は、彼女を知っている気がする……それも、とてもはっきりと……
vo_adv_2109009_060.m4a|くっ……よくも、ユイを……！
vo_adv_2109009_114.m4a|……{player}のことだけ、狙いを外した……のか……？
vo_adv_2109009_121.m4a|そもそも……彼女は、エリスとはいったい、何者なんだ……？
vo_adv_2109010_003.m4a|ま、まさか……！
vo_adv_2109010_049.m4a|それに、何故……
vo_adv_2109010_050.m4a|何故こうも、彼女はユイと似ているんだ……？
vo_adv_2109010_054.m4a|……アバター、データ……？
vo_adv_2109010_068.m4a|……これってまさか……ヒヨリがノウェムから聞かされたという、『前の世界』の話なのか……？
vo_adv_2109010_138.m4a|放置すれば、世界が壊れるというのなら。彼のことを、我々の元から奪おうというのなら。
vo_adv_2109011_052.m4a|【レイジ・レギオン】のゼーン……やはり、驚異的な力だ……！
vo_adv_2109011_079.m4a|……どういうことだ？我々は確かに、【レイジ・レギオン】の拠点で囚われたラジラジを救出したが……それは数に入れないと？
vo_adv_2109011_102.m4a|ユイッ！
vo_adv_2109011_104.m4a|気を確かに持つんだ、ユイ！エリスの存在や、ミソラの言葉は……あまりに信じ難いが。けれど今は、戦う時だよ！
vo_adv_2109011_134.m4a|ユイを殺さないように、加減して……なのに、その余波だけで、私たち全員を追いつめるとは……
vo_adv_2109012_006.m4a|互いに記憶を失って、対立していたということか……？
vo_adv_2109012_045.m4a|手ごわいっ……！
vo_adv_2109012_142.m4a|しかし……逃げると言っても、簡単に逃がしてくれそうにないが……！
vo_adv_2110003_020.m4a|ユイっ！
vo_adv_2110003_024.m4a|その……怪我は回復魔法で治してもらっているはずだけど。どこか、痛いところはないかい……？
vo_adv_2110003_027.m4a|ち、違う……！ユイのせいなんかじゃない……！
vo_adv_2110003_055.m4a|……わかった。
vo_adv_2110004_068.m4a|みんなっ！ここにいたのか！
vo_adv_2110004_070.m4a|ユイをっ……ユイを見ていないかっ！？
vo_adv_2110004_074.m4a|わからない……ひょっとしたら、敵の空間跳躍で誘拐されてしまったのかも……
vo_adv_2110004_082.m4a|みんな、すまないが力を貸してほしい！手分けして、ユイを捜してくれないかっ？
vo_adv_2110005_003.m4a|仕方ない……街の方を見てくれている【自警団（カォン）】のみんなと、いったん合流しよう。
vo_adv_2110005_007.m4a|……そうか。ユイ……
vo_adv_2110005_009.m4a|……ヒヨリ？
vo_adv_2110005_012.m4a|ヒヨリ……でも、それは……私の責任でもあるよ。
vo_adv_2110005_013.m4a|私もヒヨリと一緒に、ユイに対して秘密を持ち続けていたんだから……
vo_adv_2110005_027.m4a|ああ！貴様、敵に寝返っておいて……よくも我々の前に顔を出せたものだな！
vo_adv_2110005_054.m4a|それも、一体や二体じゃない！
vo_adv_2110005_069.m4a|だが、キミたちばかり危険に晒すわけには……
vo_adv_2110005_075.m4a|わ、わかった……！
vo_adv_2110005_090.m4a|この借りは、必ず返させてもらうよ……！
vo_adv_2110006_053.m4a|はっ！
vo_adv_2110006_055.m4a|……よし。我々を追ってきた魔物は、これで全て片付いたか……
vo_adv_2110006_061.m4a|ユイの姿は、上空から見えただろうか？
vo_adv_2110006_064.m4a|門衛がユイを見たのは、東の街道の方角……という話だったが。闇雲に捜しまわるには、手掛かりが少なすぎるね……
vo_adv_2110006_069.m4a|……ヒヨリ？
vo_adv_2110006_075.m4a|……エリスが{player}やユイのことを狙い、そして世界を破壊しかねないというなら。いずれは戦うことになるだろうけれど……でも……
vo_adv_2110006_076.m4a|でも……仮にエリスを打倒できたとしても。それは、本当の意味でユイを助けることには……ならないだろうね……
vo_adv_2110006_080.m4a|……まだ、わからない。この世界の管理者──ミネルヴァを救うための手がかりを求めて、ソルオーブっていうアイテムを集めてる最中だったんだけど……
vo_adv_2110006_083.m4a|実在は、しているはずだよ。私もヒヨリも、おぼろげながらに一度会った記憶があるし。
vo_adv_2110006_088.m4a|……カスミ。悪いが、今はそれよりも……
vo_adv_2110006_092.m4a|再び追っ手の魔物が来るかもしれない状況で、単独行動するのは危険すぎるが……それしかないか……
vo_adv_2110006_096.m4a|こんなときに、誰から……
vo_adv_2111002_007.m4a|でも……我々の居場所を、よく突き止められたね。たしか通信魔法って、相手のおおよその位置がわからないと使えないはずだろう？
vo_adv_2111002_013.m4a|……ああ。【悪魔偽王国軍（ディアボロス）】よ。あらためて、協力を頼みたい。
vo_adv_2111002_024.m4a|っ……すまないが、友の安否がかかっているんだ。どうか行方を占ってもらえないか。このとおり、頼む。
vo_adv_2111002_027.m4a|なっ……！？貴様、言わせておけば！
vo_adv_2111002_037.m4a|……大丈夫なんだろうか？こんな悪霊の占いに頼って……
vo_adv_2111002_047.m4a|ユイッ！！
vo_adv_2111002_064.m4a|……こんなに、追いつめられて……
vo_adv_2111002_065.m4a|ミソラ……！貴様、ユイに何をしたっ！？
vo_adv_2111002_090.m4a|くっ……！これは、魔力の檻……！？
vo_adv_2111004_024.m4a|……ああ。思い出せてきている……
vo_adv_2111004_025.m4a|そうだ……私たちは……レジェンドオブアストルムというゲームの中で出会って……
vo_adv_2111004_028.m4a|もしこれが、捏造された記憶などでないのなら。私たちは、ずっと前から知り合い……いや。仲間で、友達だったんだね。
vo_adv_2111004_030.m4a|結界の内側は、修正とやらが届きにくいのか。あるいは……私たちが、隠し事をやめて。ユイと、話をしようとしているから……？
vo_adv_2111004_036.m4a|……そうだね。きっとそうだ。フィオのおかげだ……
vo_adv_2111004_039.m4a|……ああ。覇瞳皇帝との戦いのときに、破壊されてしまった……
vo_adv_2111004_044.m4a|いや、まだみたいだ……！
vo_adv_2111004_049.m4a|それはキミが選んで。私はキミが誰を選んでも後悔はしないよ。
vo_adv_2111004_053.m4a|{player}に、プリンセスを、選んでもらった。
vo_adv_2111004_065.m4a|……ユイ。
vo_adv_2111004_066.m4a|確かに……キミには……、罪がある。
vo_adv_2111004_068.m4a|けれど。その罪を、キミだけで独り占めしないでくれ。
vo_adv_2111004_070.m4a|二人とも、思い出したはずだろう？ユイの願いを叶えようとしたあの時、ミネルヴァは正常ではなかった。覇瞳皇帝に乗っ取られかけ、追いつめられていた。
vo_adv_2111004_071.m4a|誰かをプリンセスにしなくては、『懲役』どころか世界が覇瞳皇帝に支配されていたかもしれない。奴の妨害がなければ、願いは正常に叶えられたかもしれない……
vo_adv_2111004_072.m4a|そうだ……私たちにも、この世界を。アストルムを歪めてしまった罪がある。他にも……
vo_adv_2111004_073.m4a|フィオを守れなかったこと。確証がなかったとはいえ、ユイに『現実』についての知識を隠していたこともだ。
vo_adv_2111004_079.m4a|……ああ。私だって、きっと同じだよ。たぶん、だけどね……
vo_adv_2111004_080.m4a|少し考えただけで、これだけの罪が思い当たるというのに。ユイが独りで背負い込んでしまったら……私は、私たちは、友達に罪を押し付ける最低な人間になってしまうよ。
vo_adv_2111004_082.m4a|さあ、顔をあげようユイ。立とう、ヒヨリ。
vo_adv_2111004_083.m4a|こんな場所で、うずくまっている前に……私たちには、すべきことがきっとあるはずだ。
vo_adv_2111008_000.m4a|やっ！はぁっ！
vo_adv_2111008_003.m4a|剣も拳も、まったく通じない……硬いというよりは、内側からの攻撃を無効化する力があるのかもしれないね……
vo_adv_2111008_005.m4a|ああ。……そもそも、ここはどこなんだ？もしかして、ミソラがユイを閉じ込めようとしていた空間の狭間……？
vo_adv_2111008_007.m4a|ユイ……
vo_adv_2111008_009.m4a|な、なんだ！？光が、広がって──それに、この声はっ……！？
vo_adv_2111008_016.m4a|ここは……
vo_adv_2111008_062.m4a|ああ！どうやら我々が足を引っ張ってしまったようだが……ここから、巻き返してみせる！
vo_adv_2111009_011.m4a|ああ。必ずや、ユイを追って──
vo_adv_2111009_032.m4a|ユイは……とてもじゃないが、戦えそうにないか……
vo_adv_2111009_081.m4a|この戦力差……我々も、前に出るしかなさそうだ……！
vo_adv_2111010_000.m4a|刃が、通らない！なんて硬度だ……！
vo_adv_2111010_065.m4a|──何っ！？
vo_adv_2111010_066.m4a|ぐあっ！！
vo_adv_2111010_079.m4a|ユイっ！？戦えるのか！？
vo_adv_2111010_092.m4a|必ず……！
vo_adv_2111010_118.m4a|助けに、向かえない……！
vo_adv_2111010_151.m4a|くっ……せめて、このシャドウたちがいなければ……！
vo_adv_2111010_155.m4a|こ、この歌は……！？
vo_adv_2111010_168.m4a|以前は苦戦を強いられた敵だが。今回は、我々の味方をしてくれるのか……！
vo_adv_2111010_241.m4a|っ！妨害させる気かっ！？
vo_adv_2111010_243.m4a|グロリアステンペスト──！！！
vo_adv_2111010_262.m4a|げんこつだったね……
vo_adv_2111010_296.m4a|ユイも、しばらくは目覚めそうにないな。どこか安全な場所で、休ませてあげたいが……
vo_adv_2111099_003.m4a|……ラビリスタ、か。掴みどころがないのに、不思議と信頼して良いと思える……きちんと話したことはないはずなのにね。
vo_adv_2112001_002.m4a|ああ。それに……ここならばひとまずは安全、と思っていいのだろうか。今クリスティーナやネネカから攻撃されたら、ひとたまりもないが……
vo_adv_2112001_014.m4a|ん……ヒヨリ。ユイを担ぐのを、そろそろ代わろう。
vo_adv_2112001_023.m4a|二人とも、肉体的なケガよりも精神的なダメージのほうが大きいんだろう。こればかりは、魔法でも治せないからね……
vo_adv_2112001_028.m4a|ああ。そして……
vo_adv_2112001_029.m4a|『現実』というものと、どう向き合うか。私たちもそろそろ、腹をくくらなくちゃいけない。
vo_adv_2112001_037.m4a|ラビリスタの作ったこのトンネルは、どれくらい道を短縮してくれるんだろうか。外が見えなくて、現在地がわからないっていうのは、なかなか──
vo_adv_2112001_043.m4a|──来る！警戒を！
vo_adv_2112001_055.m4a|体感では、ランドソルから少し離れたくらいなのにね。さすがはラビリスタの作った地下道だ。
vo_adv_2112001_071.m4a|私も、一緒に行かせてもらっていいかな。私かヒヨリの必ずどちらかが、ユイのことを見ているようにしようと思っていてね。
vo_adv_2112003_044.m4a|今は、９個だ。【レイジ・レギオン】の拠点に乗り込む少し前に、運良く一つ見つけられてね。
vo_adv_2112003_047.m4a|うん、今のところぐっすり眠っているよ。万一なにかあったら、ヒヨリが知らせてくれるから。
vo_adv_2112003_048.m4a|それで……ソルオーブの話だけど。夢の中で私たちが見たのは、全部で12個だったから。それが正しいなら、あと３個で揃うことになる。
vo_adv_2112003_050.m4a|ええっ！？これって……！
vo_adv_2112003_056.m4a|…………
vo_adv_2112003_058.m4a|無礼を承知で、ひとつ尋ねたい……ラビリスタ。
vo_adv_2112003_060.m4a|エリスやミソラから狙われていた、とあなたは言っていたね。彼女たちから逃げのびつつ、『現実』への帰還のためにこれほど準備していたという……その苦労は、私には想像もつかない。
vo_adv_2112003_063.m4a|ああ……だが。我々に声をかけてきたのが、このタイミングだった理由は……？
vo_adv_2112003_064.m4a|そもそもの話。あなたなら、最後まで我々に何も知らせず……逃げ切りながら目標を完遂することも不可能ではなかったんじゃないだろうか。
vo_adv_2112006_100.m4a|コッコロの見立てでは、オーエドのときと似た状態らしい。今はヒヨリと共に、{player}らを守っているが……
vo_adv_2112008_027.m4a|ええっ！？魔法には、あまり詳しくないんだが……！
vo_adv_2112008_058.m4a|水入らず、だったっけ……
vo_adv_2112008_089.m4a|危ない、ドングリレンジャー！そんな緩そうな鎧じゃ……！
vo_adv_2112008_095.m4a|ああ！仲間と{player}を守るためならこの命、いくらでも懸けてみせる！
vo_adv_2112009_002.m4a|……では、シェフィが本当に『王族暗殺未遂』をしていたとして……それは、覇瞳皇帝がターゲットだったということか？
vo_adv_2112009_072.m4a|ちょっ、そんな場合じゃないよヒヨリ。{player}を助けなくては……！
vo_adv_2112010_040.m4a|つまり……クリスティーナたちは、ダイゴの結界から出られないと？
vo_adv_2112010_050.m4a|さすがに、それは無茶なんじゃ……
vo_adv_2112010_056.m4a|ソルオーブ！？11個目の……
vo_adv_2112010_059.m4a|そ、それはそうだけど……
vo_adv_2112010_066.m4a|……ああ。すまない、【美食殿】のみんな。最後のソルオーブ探しは、キミたちに託してしまって構わないだろうか？
vo_adv_2114002_000.m4a|……私は。私は、レイ。【トゥインクルウィッシュ】のレイ。
vo_adv_2114002_002.m4a|……私は。私はいつだって、強くなりたいと。自己を研鑽したいと思っている。剣技も学力も。そして、心も。
vo_adv_2114002_004.m4a|……もちろん、仲間を守るためだ。それだけじゃない。困っている人、理不尽な暴力で傷つくひとたちも。だから私は、誰よりも強くありたいと……
vo_adv_2114002_006.m4a|っ……そんな、ことは……
vo_adv_2114002_009.m4a|……あぁ。そう、だ……私は……
vo_adv_2114002_010.m4a|家から離れても……独りでも、うまくやれるようになりたかった。父親を、見返したかった。……いいや……
vo_adv_2114002_011.m4a|父親に、自分を認めさせたかった。家庭を顧みない父に、私を見てほしかった。……それが私の、最初の一歩だ……
vo_adv_2114002_014.m4a|二人とも、思い出したはずだろう？ユイの願いを叶えようとしたあの時、ミネルヴァは正常ではなかった。覇瞳皇帝に乗っ取られかけ、追いつめられていた。
vo_adv_2114002_015.m4a|誰かをプリンセスにしなくては、『懲役』どころか世界が覇瞳皇帝に支配されていたかもしれない。奴の妨害がなければ、願いは正常に叶えられたかもしれない……
vo_adv_2114002_019.m4a|……ああ。私だって、きっと同じだよ。たぶん、だけどね……
vo_adv_2114002_023.m4a|でも……ユイには、それを言えなかった。私は、嘘をついてしまった。
vo_adv_2114002_025.m4a|今の彼も、前の彼も同じだと……自分が選ばれたのだと。そう、開き直ってしまっていたら。そうしたら……私は……
vo_adv_2114002_027.m4a|…………
vo_adv_2114002_028.m4a|……ヒヨリ……？もう、ランドソルについたの……？
vo_adv_2114002_031.m4a|そうだったね……ありがとう。
vo_adv_2114002_032.m4a|…………
vo_adv_2114002_034.m4a|……ああ、その……おかしな夢を、見てしまって。目を逸らそうとしていたことを、自分自身に指摘されるみたいな……
vo_adv_2114002_035.m4a|……あるいは。今のは、『再構築』される前の自分の声だったのか……
vo_adv_2114002_037.m4a|……ヒヨリ。ユイが別行動している今、こんなことを話すのは……その……卑怯かもしれないけど……
vo_adv_2114002_039.m4a|ヒヨリにだけは、聞いてほしい。私と同じ……あのときに、選ばれなかった者として……
vo_adv_2114002_041.m4a|……
vo_adv_2114002_042.m4a|ユイの願いが歪められて、『懲役』の引き金になってしまったことも。私たちと冒険した『彼』がもう、どこにもいないことも。とても胸が痛くなることで……そしてユイだけじゃなくて、我々の咎だ。
vo_adv_2114002_043.m4a|でも……本当のことを言えば……ユイが、羨ましかったよ。それで、世界を歪めてしまったと……苦しむとしても。
vo_adv_2114002_044.m4a|それに……あの場にいたのが、たまたま私たち３人だけで。本当は、彼が選びたい他の誰かがいたんじゃないか……とか。『再構築』の後の彼からは、違う答えがきけるんじゃないか、とか……
vo_adv_2114002_045.m4a|……ああ、ダメだな私は。「誰が選ばれても後悔は無い」、なんて言ってたのにね。軽蔑してくれて構わない。……でも……
vo_adv_2114002_046.m4a|ユイを、苦しみから救いたいというこの気持ちに……嘘はないとしても。今の世界の歪みを正そうとする自分の行為が、まるで……ユイが選ばれた可能性を、否定しようとしているみたいに思えて……
vo_adv_2114002_048.m4a|……すまない。これから大きな戦いになるというのに、変な話をしてしまって。ヒヨリは私と違って、こんなくよくよした悩みは……
vo_adv_2114002_054.m4a|ヒヨリ……
vo_adv_2114002_055.m4a|……っ？なんだ、遠くのほうから騒ぎの声が……
vo_adv_2114002_063.m4a|くっ……！エリスの使徒の、シャドウだと……！？
vo_adv_2114002_065.m4a|街にもたくさん向かっている！急ごう！
vo_adv_2114002_073.m4a|っ……
vo_adv_2114002_075.m4a|……みんな、遅くなった。状況は？
vo_adv_2114002_080.m4a|……待って。それはもちろんだけど、フィオの方はどうする？
vo_adv_2114002_085.m4a|敵の思惑に嵌まるようで癪だが。仕方が無いか……
vo_adv_2114004_020.m4a|この塔には、下調べやソルオーブの手がかり探しで何度か挑戦しているからね。さすがに迷ったりはしないさ。
vo_adv_2114004_022.m4a|ああ、そうだね。ついに、全てが揃った……
vo_adv_2114004_023.m4a|……これを使えば、頂上の門を開くことも……？
vo_adv_2114004_025.m4a|っと、すまない。もちろん本気ではないよ。
vo_adv_2114004_026.m4a|頂上に到達するときは、必ずユイも一緒だ。それにフィオもね。
vo_adv_2114004_029.m4a|ミロク……！
vo_adv_2114004_034.m4a|よく言う……！人質を取ったのは、そちらだというのに……！
vo_adv_2114004_038.m4a|……我々が集めたソルオーブ、12個。すべて、こちらの袋に入れてある。
vo_adv_2114004_043.m4a|この魔物……どうやら、本当に動かないようだ。油断はできないが……
vo_adv_2114004_050.m4a|変身魔法かっ！？このっ……！
vo_adv_2114004_055.m4a|取り引き相手を信用しないのは、お互い様だったわけか……！
vo_adv_2114004_062.m4a|やはり、潜ませていたか！
vo_adv_2114004_064.m4a|くっ！やはり、強い……！
vo_adv_2114004_072.m4a|今度は本物か……！？
vo_adv_2114004_073.m4a|くそっ！邪魔をするな、ゼーンっ……！
vo_adv_2114004_081.m4a|歌による振動が、結晶を振るわせて。『巨神』を妨害しているのか……！
vo_adv_2114005_009.m4a|【レイジ・レギオン】の、関係者か……？
vo_adv_2114005_013.m4a|……今はカリザがペットだ、と。
vo_adv_2114005_026.m4a|……待って、ヒヨリ。
vo_adv_2114005_027.m4a|念のために聞くが、【レイジ・レギオン】……そちらが我々を罠に掛けようとしてないという証拠は？
vo_adv_2114005_047.m4a|しかし……
vo_adv_2114005_051.m4a|……{player}たちがいいなら、私も異存は無いよ。向こうが本心から、力を合わせたいと思っているならだけどね。
vo_adv_2114005_063.m4a|すまないが、ひとまず街の方は頼んだよ……！
vo_adv_2114005_068.m4a|ああ！恩に着る……！
vo_adv_2114005_098.m4a|バラバラなんてものじゃない。これはまるで、霧のようだっ……
vo_adv_2114005_110.m4a|！あれはっ……！
vo_adv_2114006_022.m4a|……{player}！今は、彼女がゼーンを押さえてくれているうちに……！
vo_adv_2114006_024.m4a|気持ちはわかる。だが、たった一人で兄を止めようとする彼女の決意を、無駄にしてはいけない……！
vo_adv_2114006_029.m4a|だが、フィオを助けるためには。まずこの群れを、突破しなくては……！
vo_adv_2114006_052.m4a|あの深手で、息を吹き返すとは……！
vo_adv_2114006_060.m4a|ヒヨリっ！？
vo_adv_2114006_068.m4a|下がるんだっ、ヒヨリ！
vo_adv_2114006_075.m4a|浮かせた！？
vo_adv_2114006_081.m4a|ヒヨリ！しっかりするんだ……！
vo_adv_2114006_083.m4a|両腕が、こんなにボロボロに……フィオを助けるためとはいえ、無茶しすぎだよ、ヒヨリ……
vo_adv_2114006_087.m4a|……ヒヨリ……
vo_adv_2114006_088.m4a|……ああ、そうだね。私も肚が据わったよっ……！
vo_adv_2114006_090.m4a|……私は、疑り深くってね。フィオの救出を達成したなら……あの男が、その隙を狙った罠を仕込まないはずがない。そう推測させてもらったまでのことだよ。
vo_adv_2114006_092.m4a|貴様もだ、ミロク！この刃で、私が斬り伏せる！
vo_adv_2114006_095.m4a|邪魔をするなっ……！
vo_adv_2114006_100.m4a|今だっ！──グロリアステンペスト！！
vo_adv_2114006_103.m4a|フィオ……ありがとう。
vo_adv_2114006_109.m4a|……た、確かに……だいぶ、変わったみたいだね。フィオ……
vo_adv_2114006_120.m4a|【レイジ・レギオン】、すまないがヒヨリのことも頼む。我々は……
vo_adv_2114006_124.m4a|空に浮かぶ塔で、それは無いと思うがっ……
vo_adv_2114008_001.m4a|フィオ！私にはあのイバラが、塔の壁から伸びてきているように見えるが……どういうことなんだ！？
vo_adv_2114008_007.m4a|ああ！ヒヨリ、動ける！？
vo_adv_2114008_012.m4a|なんだって！？ものの数十秒で、そんなことが……！
vo_adv_2114008_028.m4a|{player}を、直接狙ってきたか！
vo_adv_2114008_030.m4a|ああ！貴様もミロク同様に、この場で斬り伏せる……！
vo_adv_2114008_038.m4a|そうだ！たしかに、急所を断つ手応えがあったはず……！
vo_adv_2114008_063.m4a|なんだっ！？この不気味な力は……！
vo_adv_2114008_069.m4a|質量を伴うほどの、魔力の刃を飛ばしてきたのか……？
vo_adv_2114008_078.m4a|カリザはともかく、ミソラからも不満が出るとは……
vo_adv_2114008_087.m4a|だが、出口はイバラで塞がれているはずじゃ……！
vo_adv_2114008_091.m4a|フィオ！？何をする気なのっ！？
vo_adv_2114008_106.m4a|本当に、肝が冷えたよ。こんなことはもうしないと、約束してほしい。
vo_adv_2114008_118.m4a|！危ないっ！
vo_adv_2114008_127.m4a|変身魔法か！？
vo_adv_5084604_000.m4a|……不甲斐ないな、私は。剣を振るうことはできても、こういう時に力になれないなんて。
vo_adv_5084604_001.m4a|私ひとりじゃ修行も張り合いがないじゃないか。キミは私の……自慢の弟子でもあるんだから。
vo_adv_5084604_002.m4a|これはもう、彼が目覚めた暁には師匠としてきっちり鍛え直してあげないといけないな。
vo_adv_5084604_003.m4a|だから……早く目を覚まして。また、私と一緒に剣を振るってほしい。
vo_adv_5085004_008.m4a|ヒヨリ、急かしてはダメだよ。ソルの塔に魔物がいないとはいえ、気をつけて進まないとね。
vo_adv_5085004_013.m4a|確かに……この塔は何もない抜け殻だと、言われたことがあるね。
vo_adv_5085004_014.m4a|なにより、ここに何かがあるという情報源は覇瞳皇帝からのもの。今の覇瞳皇帝がどういう考えを持っているかは分からないけど、私たちをよくは思っていないだろう……罠、という可能性もある。
vo_adv_5085004_017.m4a|そうか……すべて承知の上か。キミたちの覚悟を、甘く見ていたみたいだ。
vo_adv_5085004_019.m4a|……はぁ。ヒヨリほど気楽にはなれないよ。
vo_adv_5085004_030.m4a|覇瞳皇帝はソルの塔へ向かえ、としか言ってなかったんだよね？まさか、頂上まで行けということなのだろうか……？
vo_adv_5085004_041.m4a|……！みんな、構えて！　敵襲だ！
vo_adv_5085004_050.m4a|それよりもヒヨリ、この魔物……！
vo_adv_5085005_011.m4a|ヒヨリ！　まずい、彼への守りが崩される……！
vo_adv_5085005_023.m4a|100か、あるいはそれ以上か……敵の底が見えない……！だが、無限に出てこようと……！
vo_adv_5085005_084.m4a|これは……壮観だね。
vo_adv_5085005_154.m4a|さっきまでの荒々しい力は、感じないね。
vo_adv_5096000_001.m4a|すっごく楽……ヒヨリ？　私の気のせいだったらすまないが、かなり危ない場面があったよね？
vo_adv_5096000_003.m4a|ユイ。ヒヨリにあの時のことを思い出させてあげて。
vo_adv_5096000_006.m4a|まったく……でもピンチから抜け出すのはたしかに楽だったよ。
vo_adv_5096000_009.m4a|万全な私たちが後れを取ることはないさ。
vo_adv_5096000_011.m4a|ヒヨリ。彼がいなかったら危なかったんだ。いつもああ上手くいくとは思わないこと。いい？
vo_adv_5096000_013.m4a|浮かれていたというわけだね。ならしょうがない。私もこれ以上言わないでおくよ。
vo_adv_5096000_017.m4a|ああ。またこうして冒険に出られてよかった。今度は罠がなさそうな依頼の時に声をかけるよ。
vo_adv_5096000_020.m4a|ああ、この辺りにしておくよ。それじゃあ管理協会への報告を済ませて、昼食にするとしようか。
vo_adv_5096000_025.m4a|ありがとう。使わせてもらうよ。
vo_adv_5096000_037.m4a|なかなかに挑戦しがいのありそうな内容だね。
vo_adv_5096000_040.m4a|みんなでゲームに興じるのも面白そうだし……旅行か。たまにはゆっくりと羽を伸ばすのも悪くない。
vo_adv_5096000_045.m4a|運が絡むものなんだ。外したって責めはしないさ。
vo_adv_5096000_053.m4a|まったく、大したものだ……やはりこういった大一番には強いな、ヒヨリは。
