vo_adv_1029010_002.m4a|よければ私たちが相談に乗りますけど。
vo_adv_5072308_000.m4a|この魔物……これまでにない力を感じます……！
vo_adv_5072308_004.m4a|ふふっ、ノゾミならそう言うと思いました。では、思う存分その剣を振るってください！私たちは全力でそれを支えます！
vo_adv_5072321_001.m4a|しかも今度は小型の魔物を引き連れていますね。ノゾミ、どうしますか？
vo_adv_5072321_004.m4a|ツムギ、分かってるでしょう？
vo_adv_5072322_000.m4a|今度は私たちにそっくりな敵ですか……！こうも立て続けで来られると、疲れが溜まってしまいますね。
vo_adv_5072322_004.m4a|ええ。ですが、過去の自分を否定したりはしません。
vo_adv_5072323_001.m4a|ツムギ、まだ行けますね？
vo_adv_5072323_006.m4a|全力の歌と！
vo_adv_5072402_001.m4a|ええ。見事な戦いぶり……いいえ、ライブでした。
vo_adv_5072402_006.m4a|ノゾミだから、としか言いようがありませんね。ですが、私もまだ歌い足りなかったところです。
vo_adv_5072405_000.m4a|もう30体目ですか。こんなに倒してしまうなんて、素敵です……！
vo_adv_5072411_001.m4a|ええ……なんだか寂しい気もしますけど、まだ、私たちはステージの上に立っています。
vo_adv_5072411_005.m4a|あなたの声、しっかりと届いていますから。
vo_adv_5084638_000.m4a|ノゾミやツムギが言ってたとおり……あれから、ずっと眠っているんですね。
vo_adv_5084638_001.m4a|あなたはいつもみんなのために頑張っているので、お休みする時間もとってほしいと思ってはいたのですが……
vo_adv_5084638_002.m4a|実際にこうして長い期間お話ができないというのは……その、寂しい、です。
vo_adv_5084638_003.m4a|……だめですね、私。こんな風に落ち込んでいたら、きっと目が覚めたときに心配しちゃいますよね。あなたは、とても優しいから。
vo_adv_5085002_010.m4a|……ノゾミ。{player}さんのことが心配なのは分かりますが、そろそろ次の現場へ向かわないと。
vo_adv_5085002_016.m4a|……眠ったままで構いません。私たち、またライブが決まったんです。この間のサマーライブよりも精一杯、歌って、踊りたいと思っています。
vo_adv_5085002_017.m4a|私たちの歌声……あなたに聞いてもらいたいです。……いつものように感想、聞かせてくださいね。ノゾミも、ツムギも、私も……楽しみにしていますから。
vo_adv_9003504_002.m4a|ええ、なんとか……！
vo_adv_9003504_009.m4a|では……ここからは、反撃開始と参りましょう。
vo_adv_9003504_018.m4a|集え、風の精霊よ！
vo_adv_9003508_007.m4a|あと少し、状況を覆す方法があればっ……
vo_adv_9003508_016.m4a|去り際、ずいぶん嫌そうな顔をされていましたけど……
vo_adv_9003512_007.m4a|あと少し、状況を覆す方法があればっ……
vo_adv_9003512_016.m4a|去り際、ずいぶん嫌そうな顔をされていましたけど……
vo_adv_9003512_020.m4a|私たちも、同行させてください。プロデューサーさんの行方を掴む、手掛かりが欲しいんです……！
vo_adv_9003514_021.m4a|そんな、あなたが……！？
vo_adv_9004006_002.m4a|ふふっ。そういうツムギも、今日は騎士さんが来ないか会場の入り口をそわそわ気にしながら待ってたんですよ。
vo_adv_9004006_004.m4a|ギルド管理協会から話は伺っています。必要な書類を持ってきますので、少し待っててくださいね。
vo_adv_9004006_011.m4a|なんだかんだ言って、ツムギも根を詰めすぎるタイプなんですから。私たちに手伝えることは手伝わせてくださいね？
vo_adv_9004006_012.m4a|{player}さん、お待たせしました。それではこちらの封筒をお渡ししますね。
vo_adv_9005004_003.m4a|はいっ！ツムギ、声が震えていますよ。もう疲れてしまいましたか？
vo_adv_9005004_008.m4a|ふふ、大丈夫ですよ。軽く流していただけなので。
vo_adv_9005004_011.m4a|あの人への、プレゼントですか……それは難しい悩みですね。
vo_adv_9005004_013.m4a|ツムギ……そんなに何度もプレゼントしているんですね……
