vo_adv_1067007_009.m4a|はいはーい！　入りたい人でーす！失礼しまーす！
vo_adv_5085006_029.m4a|彼の中で暴走しかけていた力も、すっかり元通り。あれだけのエネルギーを並列化して吸収してのけるとはね。これも絆の力ってやつかな……本当に、計り知れないよ。
vo_adv_5085006_031.m4a|そう心配する必要はないよ。彼は今、きっと向こうで別れを告げているのさ。
vo_adv_5085006_032.m4a|記憶の欠片を歪に組み合わせただけの『作りものの世界』でも、それは少年にとって大切なものを積み上げた、宝物に違いない。
vo_adv_5085006_033.m4a|もう少しだけ待ってあげてくれないかな。せめて、夢の終わりを笑顔で迎えられるように。
vo_adv_5085006_071.m4a|へぇ～、そりゃもったいない。今なら多少素直になっても許されるだろうに。今度こそ、ちゃんとしてもいいんじゃない？
vo_adv_5085006_072.m4a|──キッス。
vo_adv_5085006_074.m4a|ご挨拶だな～アタシだって彼が心配でたまらなかったんだよ？
vo_adv_5085006_076.m4a|ははは。それもいいとは思うけどね、それよりも今回、頑張ったのはキミたちだ。その役は譲るとしよう。
vo_adv_5085006_078.m4a|ああそれなら、キミの中にはもうないよ。一時的に貸し与えたというか、時限的に発動するようにしてただけみたいだね。
vo_adv_5085006_080.m4a|それより、改めて言わせてもらおうかな。少年を救ってくれたこと、感謝するよ。……ありがとう。
vo_adv_5085006_083.m4a|ふむ？
vo_adv_5085006_097.m4a|……さて、そろそろいいかな？
vo_adv_5085006_099.m4a|いやぁ、そろそろ我慢できなくなってるんじゃないかなって。
vo_adv_5085006_101.m4a|キミたちがこうしている間にね、その……集まってきてるんだよ。ほら、聞こえない？　ギルドハウスがきしむ音。
vo_adv_5085006_103.m4a|そりゃあそうだよねぇ。みんな心配してたわけだから。
vo_adv_5085006_105.m4a|それじゃ、アタシはこの辺で。……少年。しっかりとみんなに挨拶するんだよ？
vo_adv_5085006_106.m4a|ふふ。いい返事だ。じゃあ、またね。
vo_adv_5085203_004.m4a|ああ。少年、『キミの力』で超えたんだ。
vo_adv_5085203_005.m4a|さぁあとは盛大にパーティでも開いて騒ぎ明かそうか！特製クレープをみんなに振舞わせてもらうよ！……と、言いたいところだったけど。
vo_adv_5085203_006.m4a|空間全体に歪みが生じてる。さっきよりも大きな力が形作られようとしているね。どうやらまだ、終わりじゃないみたいだよ。
vo_adv_5085203_009.m4a|よし。じゃあみんな、少し集まってくれるかな。空間の歪みを安定させるよ。……この辺りはお姉さんの役割だからね、っと！
vo_adv_5085204_000.m4a|よし、これで大丈夫。みんな動ける？　異空間の隙間に挟まっちゃった子とかいない？
vo_adv_5085204_003.m4a|それはよかった。結構ぶっつけ本番だったからね～、制御不能な空間への干渉、こんな難題に挑むのは久しぶりだよ。
vo_adv_5085204_005.m4a|おっと、まだ空間に綻びが残ってた。あ、キャルちゃん、そこ落ちないように気をつけてね。
vo_adv_5085301_004.m4a|いい心意気だね少女たち！アタシもやる気が出てくるってもんさ！
vo_adv_5085301_005.m4a|たまにはいいもんだね、大勢と並び立って戦うのも。目で合図して、呼吸を合わせて、誰かの指示に従う。……少年、楽しみにしてるよ。キミの采配。
vo_adv_5085302_002.m4a|成長と進化の可能性。きっと『あっちの少年』はどこまでも強くなり続ける。
vo_adv_5085302_003.m4a|それを止めるには……『今の少年』がそれを制することで、意思を示すしかないよ。
vo_adv_5085302_004.m4a|……分かっている、って顔だね。うん、いい顔だ。かつてアタシが信じ、願いを託したままの……
vo_adv_5085302_005.m4a|いいや。その時よりもきっと、『今の少年』は格好いいね。
vo_adv_5085308_005.m4a|力が高まっていく。『あの少年』も、そして、こちらも。……決着はもうすぐそこだね。
vo_adv_5085321_000.m4a|──権能、解放。
vo_adv_5085321_001.m4a|っと、こんなものかな。うんうん、我ながら悪くない再現度だ。
vo_adv_5085321_004.m4a|やあ、悪いね、キミたち。これはアタシが作り出した空間なんだ。キミたちにも付き合ってほしくてね。
vo_adv_5085321_006.m4a|いや、あれはアタシの力で作り出したものだよ。何事も基本は調査と観察と実験、二度とこんなことが起きないよう、掴んでおく必要があるんだ。
vo_adv_5085321_007.m4a|……もちろん、あの時の途方もない力をそのまま再現は出来なかったけどね。
vo_adv_5085321_008.m4a|だから、別の方向であの時の力を再現できるよう、いろいろと趣向を凝らしてみた。
vo_adv_5085321_009.m4a|名付けて、『迷宮女王』のスペシャルバトル～！
vo_adv_5085321_011.m4a|それでは張り切って行ってみよう！
vo_adv_5085322_000.m4a|ふんふん、なるほどなるほど……さすがだね、今のを乗り越えてくるなんてさ。これはいいデータが取れそうだ。
vo_adv_5085322_002.m4a|当たり前だよ～ギリギリまで、いやギリギリから多少はみ出すくらいじゃないと実験の意味がないってね。
vo_adv_5085322_003.m4a|あの力をそのまま再現はできないとはいえ、よく対応できてる……成長著しいね、若者たちは
vo_adv_5085322_006.m4a|おっ、やる気だね。じゃあアタシもちょっと腕を振るわせてもらおうかな？
vo_adv_5085323_002.m4a|あ～……ちょっとまずいかも。
vo_adv_5085323_004.m4a|ゴメン。なんか調整ミスっちゃったみたいでさ。向こうの力、限界振り切っちゃってるみたい。
vo_adv_5085323_006.m4a|いやぁ、やっぱりとんでもない力だね。再現しようとしただけでこれなんてさ～
vo_adv_5085323_008.m4a|みんなの力があれば平気平気。
vo_adv_5085401_000.m4a|やっ。少年、調子はどうだい？
vo_adv_5085401_001.m4a|ん？　この姿？たまにはアタシもイメチェンしてみようかなと思って。なんて冗談冗談。
vo_adv_5085401_002.m4a|この力がいつか、正しい時に、正しい想いで使われるように。アタシも手を貸そうと思ってね。
vo_adv_5085401_003.m4a|だから少年。キミも、遠慮なくアタシを頼ってほしい。
vo_adv_5085402_004.m4a|力が収束していく。どうやら、答えが出たようだね。
vo_adv_5085402_010.m4a|『少年』。もう、大丈夫かい？
vo_adv_5085405_000.m4a|30回を超えて来たね。うんうん、少年はよく頑張ってる。アタシがほめてあげよう。
vo_adv_5085411_002.m4a|だめだよ～？この戦いが終わったら、なんて言っちゃあ。
vo_adv_5085411_006.m4a|こらこら二人とも。最後まで気を抜いちゃだめだよ～？勝利の美酒を酌み交わすのは、すべてが終わってからだよ。
vo_adv_5085702_004.m4a|ここが決戦の舞台だよ。これだけの人々が集まってくれたんだ。絆ってやつが、ここに至るまでの道を紡ぎ、作り出した。
vo_adv_5085702_005.m4a|負けるわけにはいかないね？……少年。
vo_adv_5098002_051.m4a|ヤッホーいらっしゃいませ～♪
vo_adv_5098002_052.m4a|やあ少年！元気そうでなによりだよ。いやいや、すっかり夏だねぇ。エンジョイしてる～？
vo_adv_5098002_054.m4a|うんうん、いい反応をしてくれるね～♪よーし！　ここで会ったのも何かの縁。みんなに好きなクレープをごちそうしちゃおう！
vo_adv_5098002_057.m4a|もっちろん！さあさあ、遠慮しないで♪
vo_adv_5098002_060.m4a|へ？
vo_adv_5098002_065.m4a|これは…………
vo_adv_5098002_067.m4a|…………いやー、かわいいぬいぐるみだね♪
vo_adv_5098002_071.m4a|へー、ランダムで！よくできてるね～最近のぬいぐるみは高性能だぁ。
vo_adv_5098002_075.m4a|おそまつさまでした。美味しそうに食べてもらえて、アタシもうれしかったよ。また来てね♪
vo_adv_5098002_077.m4a|……あー、少年。帰る前にちょっといいかな？なぁに、怖い話じゃないよ。
vo_adv_5098002_078.m4a|少年なら心配ないと思うけど……まあ、なんていうか……アレだよ。
vo_adv_5098002_079.m4a|──あの子たちが、楽しい夏を過ごせるようにしてあげてね。
vo_adv_5098002_080.m4a|そのままの意味だよ。今年の夏は、今年しかない。たった一度の夏は、それこそ一生モノの思い出になるってこと。
vo_adv_5098002_081.m4a|どうせ一生モノの思い出ならさ。単純に考えて、楽しいほうがよくない？
vo_adv_5098002_082.m4a|あはは、よろしい！頼んだよ、夏の少年♪
vo_adv_5098007_031.m4a|ヤッホーたそがれてるねぇ、少年。まだ昼間なのにさ♪
vo_adv_5098007_032.m4a|いろいろあったみたいだね。日焼けして、一皮むけたって感じ？　なーんちゃって！
vo_adv_5098007_033.m4a|まあ、冗談っぽいのは置いといて……実際、ちょっぴり大人になれたんじゃないかな？少年も、彼女たちも。
vo_adv_5098007_034.m4a|あの生き物……みゅ～ちゃん、だっけ。あの子の力は、近くにいる人間の心に最も影響されるんだよ。純粋だからね。育った環境に染まりやすいのさ。
vo_adv_5098007_035.m4a|そういう意味で、アタシは安心してたんだ。少年も彼女たちも、よこしまな願いを叶えようとはしない。きっと、いい方向に進んでくれるって……そう、信じてるからね。
vo_adv_5098007_036.m4a|それはアタシにも分からないなぁ。ああ、はぐらかしてるわけじゃないよ？　ほんとのほんと。１年後か10年後か、それとも……
vo_adv_5098007_037.m4a|でもね？再会までに過ごす時間というのも、貴重なものなんだよ。この夏、少年たちが体験した時間と同じくらいにね。
vo_adv_5098007_038.m4a|だから、少年。これからも彼女たちと過ごしてあげてよ。何気なくて、かけがえのない、楽しい毎日をね。
vo_adv_5098007_039.m4a|うんうん。いい返事だ♪
vo_adv_5098007_040.m4a|……それにしても、ちょっと驚いたなぁ。心配はなかったとはいえ、まさかあのプログラムが残ってたなんて……
vo_adv_5098007_041.m4a|効率よくデバッグするために仕込んだ難易度修正コマンド……開発初期に仕込んだのに、健気なものだよ。いやはや、何がどのタイミングで発動するか読めないもんだねぇ。
vo_adv_5098007_042.m4a|おっと、なんでもないよ！ただの独り言。
vo_adv_5098007_043.m4a|ほら、少年！彼女たちの方へ行ってあげて。楽しい毎日は続いてるぞ～っ！
vo_adv_9004012_007.m4a|あんまりみんなを困らせちゃだめだよ、クリス。少年は用事があって王宮まで来たんじゃないかな？お目当ては──この封筒、だったりして。
vo_adv_9004012_008.m4a|はい、じゃあ確かに渡したよ。これでアタシの任務達成！といきたいところだけど……さっきの釣りの話、アタシでどう？　勝負しようよ。
vo_adv_9004012_014.m4a|おっと、そうだ。最後に一つ、少年にちょっとだけ手助けしてあげよう。次に向かうべき目的地へのショートカットってやつさ。──オブジェクト変更。接続座標は……この辺かな？
vo_adv_9004012_015.m4a|よし、それじゃあ行っておいで！キミが作り出してゆく未来に、太陽と星の祝福を。
vo_adv_9005003_001.m4a|やぁそこの悩めるお嬢さん。クレープはいかがかな？
vo_adv_9005003_009.m4a|というわけで少年への贈り物はクレープで決まり！このアタシが出張して特大ビッグクレープを作ってあげちゃうよ～！
vo_adv_9005003_015.m4a|ちょっとノウェム、もっと美味しそうに食べなきゃダメでしょー？そんな棒読みじゃ宣伝効果が見込めないじゃないのさー！
