vo_adv_1171001_000.m4a|やっぱり住むなら、海辺のおうちだよねっ。
vo_adv_5096002_056.m4a|させないよ！　マコトちゃん！
vo_adv_5096002_067.m4a|相手がエリコちゃんに怖気づいてる今がチャンス！一気に点を取りにいくよ！　マコトちゃん！　アユミちゃん！
vo_adv_5096002_071.m4a|いっけえー！　魔球・お姉ちゃんサーブっ！
vo_adv_5096002_075.m4a|いいな～、お姉ちゃんも弟くんと触れ合いたいな～！
vo_adv_5096003_017.m4a|もう、ダメだよエリコちゃん。いきなり背後から忍び寄ったからヒヨリちゃんがビックリしちゃってるでしょ？
vo_adv_5096003_020.m4a|えっ？　じゃあさっきの悲鳴は誰の……？
vo_adv_5096003_037.m4a|弟くん、頑張ってね！お姉ちゃん、弟くんの近くでずっと見守ってるよ！
vo_adv_5096004_008.m4a|まかせて！　弟くんのコンディションはお姉ちゃんがバッチリ整えちゃうね！
vo_adv_5096004_031.m4a|弟くん、行こ！　明日も頑張れるように、お姉ちゃんが完璧に栄養管理してあげる！
vo_adv_5096004_044.m4a|大丈夫だよユイちゃんたち。お姉ちゃんたちが弟くんのことは、ちゃんと見ておくから。また後でね〜！
vo_adv_5096005_006.m4a|じゃじゃーん！　お姉ちゃん、ふっかーつ！
vo_adv_5096005_034.m4a|……弟くん。お姉ちゃん、今だけシリアスモードで頑張るから！みんないくよ！　せーのっ！
vo_adv_5096005_099.m4a|エリコちゃんずる〜い！　私だってスポーツしてる弟くんを目に焼きつけたいのに〜！
vo_adv_5096006_127.m4a|やっぱり弟くんは、弟くんだね！そんなキミを守りに、お姉ちゃんがきたよ！セイクリッドパニッシュ！
vo_adv_5096007_060.m4a|弟くんがやるなら、お姉ちゃんお手伝いしちゃうよ！頑張る弟くんをそばで支えるのは、お姉ちゃんの本懐だもん！
vo_adv_9005003_005.m4a|弟くんはクレープとお姉ちゃんが大好きだもんね～プレゼントしたら喜ぶだろうなぁ～♪
vo_adv_9005003_012.m4a|ねぇシェフィちゃん！記念日といえばお姉ちゃん、お姉ちゃんといえば弟くん！何をあげたらいいかもう分かったよね！？
vo_adv_9005003_017.m4a|ねぇねぇシェフィちゃん、おっきな箱を用意して、そこにお姉ちゃんを入れておくとかどうかなっ？記念日にどかーんってお姉ちゃんが現れるの、甘いクリームを塗って！
