vo_adv_1211001_007.m4a|こんにちは。あの、{player}くんはいるかしら？
vo_adv_5094006_006.m4a|どう？　キミ、お姉さんと過ごす時間は楽しいかしら？
vo_adv_5094006_007.m4a|……え？　何を言っているのかしら。前みたいに泥酔して突っ伏して寝たりなんかしてないじゃない。
vo_adv_5094006_014.m4a|ふふっ、ほんとね。変なこと言うなんて、ランドソルの飲食店の床に転がってる酔っ払いみたいだわ。
vo_adv_5094006_015.m4a|無敵の【王宮騎士団（NIGHTMARE）】がいるから、そんな人はもう見かけたりしないけど。ね、ジュンさん？
vo_adv_5094006_017.m4a|も〜、しっかりしてほしいのは、キミのほうよ。さっきから変なことばっかり言って………………あれ？
vo_adv_5094006_018.m4a|{player}くん……？さっきから声は聞こえるけど……そういえば、姿はどこにも……？
vo_adv_5094006_021.m4a|また、{player}くんの声だけが……ここにいないのに……一体どうなってるの……？
vo_adv_5094006_029.m4a|ええーっ！　見た目が似てるだけの毒キノコ！？あんなにおいしかったのにーっ！
vo_adv_5094006_034.m4a|そ、そんなぁ……！今の私は、ずっと憧れてた私なのに……！
vo_adv_5094006_035.m4a|そう……飲んで寝ちゃった時は、こうやっていつも起こしてくれて……だから、しっかりしてる姿を見せたかったの……
vo_adv_5094006_036.m4a|でも……そんな私になれても……肝心のキミが見てくれなきゃ……なんの意味もないわ……！
vo_adv_5094006_037.m4a|だって……周りから頼られるのもうれしいけど……キミが、ありのままの私を受け止めてくれることのほうが、何倍もうれしいんだもん……！　キミの前で正直でいたいわ！
vo_adv_5094006_045.m4a|私は！　キミの前で楽しく麦しゅわを飲みたいわ！
vo_adv_5094006_050.m4a|……うう～、気持ちわる～なにが最高の一杯よ……後味最悪のおつまみだったわ……
vo_adv_5094006_052.m4a|ということは、魔物！？一体どういうことなの〜〜！？
vo_adv_5094006_058.m4a|──聖なる盾よ！
vo_adv_5094006_062.m4a|キミ！　大丈夫なの！？思いっきり胞子を吸い込んじゃうわよ！！
vo_adv_5094006_068.m4a|ここは私たちお姉さんコンビが、切り込みをかけるわ！
vo_adv_5094006_070.m4a|森の茂みからまたキノコが出てきた！？
vo_adv_5094006_073.m4a|ええっ！しばらくキノコが食べられなくなった恨み、晴らさせてもらうわ！
vo_adv_5094006_074.m4a|キノコの素焼き、大好きなおつまみだったのにーー！！えーーーーいっ！！
vo_adv_5094006_080.m4a|ありがとう、アオイちゃん！
vo_adv_5094006_083.m4a|はあ、はあ……なんとか、倒せたわね……
vo_adv_5094006_087.m4a|ねえ……でも、そもそもどうしてキミがここに来たの……？
vo_adv_5094006_089.m4a|そ、そういえば……飲食店でキャンプ飲みの話を聞いた勢いで出発しちゃってたかも……
vo_adv_5094006_099.m4a|つまり私たちは、毒キノコどころか魔物の一部を食べていたってこと！？
vo_adv_5094006_101.m4a|ううっ……最高の一杯のための最高のおつまみなんかじゃなかったってわけね……
vo_adv_5094006_108.m4a|……{player}くんって、理想の自分の姿って、思い浮かべたことある？
vo_adv_5094006_110.m4a|ほら……私たち、幻覚の中ではなりたい自分になっていたわよね。それが幸せで幸せでたまらなくて……
vo_adv_5094006_111.m4a|それに、キノコを食べる前……３人でそんな話もしてたじゃない？だから、それも関係してるのかなって……
vo_adv_5094006_112.m4a|ねえ、キミ。例えば、超モテモテのイケメンになりたい～とか、大富豪になって豪遊したい～とか……そういうものってあるかしら？
vo_adv_5094006_113.m4a|ああ、やっぱり……だから、食べても平気だったのかも。
vo_adv_5094006_116.m4a|そうね……私みたいに見栄っ張りじゃないもんね。だから、年下なのに頼りにしちゃってて……いつもありがとう、キミ。
vo_adv_5094007_001.m4a|大丈夫。薪なら私とジュンさんがたくさん準備してるから。気を取り直して、準備をしましょう。
vo_adv_5094007_005.m4a|そっか……休暇を楽しむために、キャンプ場に来たわけじゃないもんね……
vo_adv_5094007_025.m4a|……っ！普段よく仕事中に飲んでる物とは、別物だわ！
vo_adv_5094007_027.m4a|アオイちゃん、この豆をうちのギルドにも分けてくれないかしら？アキノさんに言い値を出させるわ！
vo_adv_5094007_031.m4a|ふふっ、面白そうだわ。ギルドのみんなで試してみるわね。
vo_adv_5094007_050.m4a|キャンプ仲間……いい響きね。飲み仲間とはまた違う居心地のいい関係だわ。
vo_adv_5094007_054.m4a|…………ねえ、いい話の最中に悪いんだけど……そろそろご飯の準備しない？
vo_adv_5094007_055.m4a|魔物と戦ったり、設営しなおしたりでお腹空いてきちゃった……それに……コーヒーもいいけど、やっぱり麦しゅわも捨てがたいの……
vo_adv_5094007_056.m4a|それに、こうして４人でキャンプしてようやく気付いたの。キャンプ飲みって、ただただキャンプ場で麦しゅわを飲めばいいわけじゃなかったって。
vo_adv_5094007_057.m4a|景色や会話も楽しむ……そんなキャンプならではのおつまみがあってこそ、人生が変わるキャンプ飲みなんだわ。
vo_adv_5094007_058.m4a|だから、キャンプ仲間が３人もできた今なら、きっと最高の一杯が飲めると思うの。
vo_adv_5094007_059.m4a|あなたたちキャンプ仲間のおかげよ。ありがとう。
vo_adv_5094007_060.m4a|そういうわけだから……ね？　ご飯にしましょ？みんなもお腹空いたでしょ？
vo_adv_5094101_020.m4a|えっへへ～～♪あれぇ、そこのあなたもソロキャンプ？せっかくだし、お姉さんと一緒に楽しみましょうよ～♪
vo_adv_5094203_001.m4a|ううん、安心してられないわよ。逃げる元気が、まだ残ってるみたいだし……
vo_adv_5094204_000.m4a|すっかり夜になっちゃったわね……しかも、まだ森は続いてるみたい。なんちゃってアストライア茸の縄張りに突入って感じかしら。
vo_adv_5094301_000.m4a|私たちに幻覚を見せるなんて……！よくもやってくれたわね、このなんちゃってアストライア茸！
vo_adv_5094308_001.m4a|ええ。長かったキノコ狩りも終わりが見えてきたわ！もうコテンパンにやっつけちゃいましょ！
vo_adv_5094321_000.m4a|ちょっとちょっと、どうなってるの！？偽アストライア茸の魔物は倒したはずでしょ？
vo_adv_5094322_001.m4a|親玉キノコの動きがおかしいわね。まるで奥にいる子分に指示を出してるみたいな……？
vo_adv_5094323_000.m4a|ようやく親玉を引きずり出せたわけだけど……ここに来て威圧感を増してない？今までとは比べ物にならないわ……！
vo_adv_5094323_004.m4a|ええ！　もう二度と暴れないように、徹底的にやっつけましょう！それから祝杯のやり直しよ！
vo_adv_5094402_000.m4a|はぁ、はぁ……今度こそ、倒したかしら……？
vo_adv_5094402_003.m4a|さーて、厄介者も倒したことだし……キャンプ、再開よー！
vo_adv_5094403_000.m4a|ふう！これで狩ったなんちゃってアストライア茸は10体ね。なかなかいいペースじゃない！
vo_adv_5094404_001.m4a|怪我は大丈夫だけど、ちょっとキリがないわね……さすがはキノコの魔物ね……繁殖力が異常だわ……！
vo_adv_5094405_001.m4a|そんな他人事みたいな言い方しちゃダメよ？この成果はアオイちゃんあってのものなんだから。
vo_adv_5094411_001.m4a|色々あったけど、楽しいキャンプだったものね～アオイちゃんがため息をつきたくなる気持ちも分かるわ。時間が許せば、何泊だってしたいくらい。
vo_adv_5094411_003.m4a|あー……我慢してから飲む麦しゅわは格別だものね。やっぱりメリハリって大事だわ。
vo_adv_6094101_000.m4a|最高の一杯を求めて！　やってきたわよ、キャンプ場！知り合いの姿も見えないし一安心ね。なにせ目的が目的だもの……特に{player}くんに見られたら、なんて言われるか……
vo_adv_6094101_001.m4a|一杯で我慢しなくていいの？　うふふっ、麦しゅわ……さいっこーーー☆って、彼がそんなこと言うはずないじゃな～い！？あー……私、思ったより浮かれてるわね。キャンプハイかしら？
vo_adv_6094101_002.m4a|……なーんて、優しい彼なら言ってくれるかも。肯定してもらえたら、うれしいし……えへへ♪って、昼間から何を考えてるの、私っ！？　開放的になりすぎじゃない？
vo_adv_6094102_000.m4a|ぷっは～～～～！！　ウワサで聞いた通り、麦しゅわが進むわ～♪でも……最高の一杯って言うには、ちょっと弱いのよねぇ……こういうとき、彼なら何が足りないのか気づいたりするのかしら……？
vo_adv_6094102_001.m4a|やっぱりそうよね～。麦しゅわにはおツマミがないとね～？でも、そのためには食材を調達しないとだし……うーん……おツマミ作りは、もうちょっと飲んでからにしよーっと。
vo_adv_6094102_002.m4a|へっ？　も、もう……ダメよ？　お姉さんをからかっちゃ……って、いけないいけない！　また変な想像しちゃったわ……！実は結構酔っちゃってるのかも、私……ふぅ。
vo_adv_6094103_000.m4a|はぁ～……疲れたぁ。キャンプって思ったよりも大変なのね。テントの設営から薪割り、それから火起こし。やることが多いわ。冒険に慣れた彼なら……こんなに手こずることもないのかしら。
vo_adv_6094103_001.m4a|なーんて言ってくれたりして？　彼って頼りになるところも多いし……とはいえ、足を引っ張り過ぎても冷めちゃうわよね。……よし、今のうちにちょっとくらいはできるようになっておこうっと。
vo_adv_6094103_002.m4a|ふふ、そう言ってくれるわよね。優しい彼だったら。……さて！　いつまでも疲れてないで切り替えましょ！次に来るときまでに勉強しておけばいいんだし？　今は結果オーライよ！
vo_adv_9004010_008.m4a|うんうん♪きっとアキノさんの舌にも合うと思うわ。
vo_adv_9004010_013.m4a|ふふっ、やっぱり気に入ってくれたわね。
vo_adv_9004010_017.m4a|ちょっと、アキノさん！？　行っちゃった……まったく、思い立ったら即行動な人なんだから……
vo_adv_9004010_019.m4a|巻き込まれる身としてはちょっと憂鬱かもぉ……ねえ、キミだけが頼りなんだからね？これからも私たちのこと、よろしくお願いするわね！
vo_adv_9005005_010.m4a|あ、お願いしちゃってごめんなさいねスズメさん。あれ？　私、お茶を頼んでたはずだけど……なんだか変わった色ね？　まぁいいか……ゴクッ。
vo_adv_9005005_011.m4a|ぷっはぁ～キクわぁ～♪何なのこのお茶、しゅわしゅわしててしゅっごいおいしぃ～♪えへへ、お嬢ちゃんたち、お姉ちゃんとみたらし団子食べない～？
