vo_adv_1021004_000.m4a|お兄ちゃ～ん……♪
vo_adv_2109005_003.m4a|お兄ちゃんと、同じってこと……？
vo_adv_2109008_033.m4a|ミミちゃん、戦いの音が止んだってほんとっ……？
vo_adv_2109011_004.m4a|なんで？どうして？もう終わったんじゃなかったのぉ……？
vo_adv_5084621_000.m4a|お兄ちゃん……ずっと眠りっぱなしなんて、どうしちゃったんでしょう……
vo_adv_5084621_001.m4a|新しいお芝居の台本、届いたんですよ。読み合わせ、手伝ってくれるって言ったじゃないですか……お寝坊さんは、ダメなんですよぅ……！
vo_adv_5084621_002.m4a|もしかして、ずうっと眠り続けるお姫様のお話……なんですか？この、台本みたいに……まさか、そんなことないですよね？
vo_adv_5084621_003.m4a|このお話だって、ラストシーンではちゃんと目が覚めるんですから……それ以外の結末なんて、認めませんよぅ……
vo_adv_5088000_010.m4a|ふぇっ！？　わ、私が見てなくてもスズメお姉ちゃんは大丈夫だと……大丈夫だと……
vo_adv_5088000_037.m4a|ママ・サレンの素敵なお話なら、たくさんできると思いますぅ。
vo_adv_5088000_050.m4a|え、えっと、スズメお姉ちゃんにはよくあることだから。
vo_adv_5088000_052.m4a|うん。ママ・サレンの留守はみんなで守らないと。
vo_adv_5088000_066.m4a|建物が古いから仕方ないの。
vo_adv_5088000_069.m4a|ミサキちゃん？
vo_adv_5088001_018.m4a|あの、ミサキちゃんがよければ……私たちの部屋に来る？ね、アヤネちゃん♪
vo_adv_5088001_030.m4a|ミサキちゃんのお部屋は変な音がして、
vo_adv_5088001_041.m4a|うん、私もその一人だもの。ママ・サレンが救護院のためにいっぱい頑張ってくれてたの、私も知ってるし……
vo_adv_5088001_042.m4a|救護院がなくなっちゃうのも……ママ・サレンに悲しい想いをさせるのも、どっちも、嫌……
vo_adv_5088001_048.m4a|大人の……レディ……？
vo_adv_5088001_053.m4a|でも……だいたいが劇団に客演させてもらうか、小さな施設に呼んでもらうか、ですぅ。
vo_adv_5088001_056.m4a|…………えっと……
vo_adv_5088001_058.m4a|実は【サレンディア救護院】には、お芝居の公演をした経験はなくて……設備もなければ、やり方も……誰も知らないから。
vo_adv_5088001_060.m4a|私は……演じる方が専門なので……大道具さんや監督さんのことはわからないですし、それに……
vo_adv_5088001_061.m4a|演劇をしたことがあるのは、【サレンディア救護院】では私だけ……せめて、外で働けたら……あ！
vo_adv_5088001_062.m4a|お兄ちゃん、いろいろな人とお仕事してるし……そのぅ、私たちでも働けるお仕事を紹介してもらうっていうのは……お願いできませんか？
vo_adv_5088001_064.m4a|でも、私たちにお仕事なんて、あるかなぁ……？
vo_adv_5088001_066.m4a|うぅ……そうですけど……
vo_adv_5088001_070.m4a|私は、お料理を手伝いますね。
vo_adv_5088001_079.m4a|ふふっ、面白いですよぅ、アヤネちゃん♪でも、なんだか頑張れそうな気がしてきました。
vo_adv_5088001_082.m4a|みんなでがんばりましょう♪
vo_adv_5088001_085.m4a|いいバイト、見つかるといいですね……
vo_adv_5088001_087.m4a|ミサキちゃんが言ってくれると、大丈夫そうな気がしてきますね……♪
vo_adv_5088001_091.m4a|…………すぅ……すぅ……
vo_adv_5088002_000.m4a|求人募集、たくさん貼ってありますね……♪私たちにもできる仕事があればいいんだけど……
vo_adv_5088002_003.m4a|それは……おうちのお手伝いなんじゃ……？
vo_adv_5088002_021.m4a|うぅ……とってもすてき……ですけど……
vo_adv_5088002_023.m4a|いえ……そうじゃなくて、私たち、働きたいんです……っでも、なかなか雇ってくれるところが見つからなくて。
vo_adv_5088002_025.m4a|はい……それは、そうだと思いますぅ。ギルドを私たちの力で運営していくこととか……すごく難しいってわかってるんですけど……
vo_adv_5088002_026.m4a|ママ・サレンは今まで、私たちに自分のことは自分でやるようにって教えてくれたから……そのぅ、私たちのギルドの、困ったことも……まずは自分たちでやってみたいんですぅ……！
vo_adv_5088002_027.m4a|うまくいくかどうかはわからないけど、きっと、難しいですけど…………挑戦、してみたいんですぅ……だから、そのお仕事。私たちにやらせてもらえませんか？
vo_adv_5088002_041.m4a|……お笑い……？
vo_adv_5088002_044.m4a|牛のお世話って言ったけど……まず牛と……仲良くなる……？
vo_adv_5088002_045.m4a|きゃあぁ！？
vo_adv_5088002_046.m4a|お兄ちゃん！？へ、平気なんですか！？　そんなに近づいて……！あれ……大丈夫……なんですか……？
vo_adv_5088002_052.m4a|あゎわ……ごめんね、ミサキちゃん！　すぐ行くか……ひゃあぁ！
vo_adv_5088002_053.m4a|あぁあ、頭なでるのは……っじゃなくて！頭舐めるのはだめぇ！　リボンもだめですぅ……！
vo_adv_5088002_060.m4a|結構な高さだから、運ぶのにはちょっと上らないと、ですぅ。よいしょ、うんしょ、っと。
vo_adv_5088002_061.m4a|この大きいフォークみたいなので刺して……せーの！お、お、お、重いですぅ……！！落っこちちゃう……！
vo_adv_5088002_063.m4a|きゃあぁ！？
vo_adv_5088002_064.m4a|ごめんなさい、ミサキちゃん……大丈夫ですか？　痛いところやケガはないですか！？
vo_adv_5088002_066.m4a|お兄ちゃん、私たちの下敷きに！？うぅ……ごめんなさいぃ……
vo_adv_5088002_069.m4a|はい……大丈夫、ですぅ……でも……
vo_adv_5088002_071.m4a|えっと、そうじゃなくて……ミサキちゃん、ママ・サレンの見習いって言ってたけど、そのぅ、【サレンディア救護院】のギルドメンバーじゃないでしょう？
vo_adv_5088002_072.m4a|その、本当は無理して働かなくても、いいんですよぅ……？ミサキちゃん……本当は苦手かなって、こういうの……
vo_adv_5088002_074.m4a|ふえぁ！？ごご、ごめんなさいぃ～！　でも、ミサキちゃん……今みたいにまた巻き込んじゃったりしたら……！
vo_adv_5088002_079.m4a|ありがとう、ミサキちゃん……♪バランス感覚を鍛えると、小柄でもパワーが発揮しやすいそうですよ……♪
vo_adv_5088002_081.m4a|ミサキちゃんが言ったんですよぅ。
vo_adv_5088002_083.m4a|……こ、こうですか？
vo_adv_5088002_084.m4a|ほんとだ、さっきより重くありません……！でも、ちゃんと持ち上げられてる！
vo_adv_5088002_085.m4a|よいしょ……！　これなら、牛さんたちの分、ちゃんと運べますね！
vo_adv_5088002_087.m4a|牛さんたち、お待たせしました♪いっぱい食べてくださいね。
vo_adv_5088002_090.m4a|それは素敵ですねぇ……♪
vo_adv_5088002_092.m4a|はい……♪私も、救護院の本で覚えたお菓子作り、今度ミサキちゃんに教えてあげますぅ♪
vo_adv_5088002_095.m4a|お笑い……？　のことはよくわからないけど……よかった、どうにか役に立てたみたい。
vo_adv_5088002_096.m4a|はい！　お兄ちゃん♪
vo_adv_5088002_102.m4a|何かあったんですか？
vo_adv_5088002_106.m4a|それで、結局チーズは……どうなったんですか？
vo_adv_5088002_113.m4a|あう、ミサキちゃん！？　落ち着いてぇ……？
vo_adv_5088002_117.m4a|すうぅ……すぅ……
vo_adv_5088003_002.m4a|はい、ありがとうございます♪
vo_adv_5088003_014.m4a|湯気もふわふわですぅ……香ばしいいい匂い♪
vo_adv_5088003_018.m4a|いただきますぅ♪
vo_adv_5088003_023.m4a|ミサキちゃん、ほっぺにチーズがついてますぅ……
vo_adv_5088003_026.m4a|お兄ちゃんはいつも突然なんですよねぇ……急に頭を触ってきたり……私、もう慣れちゃいましたけど……♪
vo_adv_5088003_042.m4a|救護院の子たちもきっと気に入ると思いますぅ。食べさせてあげたいな……♪
vo_adv_5088003_046.m4a|あ、ミサキちゃん！　それなら私たちが売るのはどう……かな？
vo_adv_5088003_048.m4a|私たちが牧場のパンを仕入れて、【サレンディア救護院】のみんなで売る、とか……最初の仕入れは、お手伝いで稼いだお金を使わせてもらって。
vo_adv_5088003_049.m4a|ほら、牧場って救護院からも少し離れてるから……だから……もうちょっと近くだったら買いに行けるお客さんもいると思うんですぅ……
vo_adv_5088003_050.m4a|どう……かなあ……？
vo_adv_5088003_064.m4a|行っちゃった……どうしよう、ミサキちゃん……？
vo_adv_5088003_066.m4a|大人でおしゃれな物産展……？
vo_adv_5088003_068.m4a|ミサキちゃん……
vo_adv_5088003_071.m4a|ミサキちゃん……！わ、私も……やってみたい、よ……！
vo_adv_5088003_074.m4a|そ、そうだね。マヒルさん、よろしくおねがいしますぅ。
vo_adv_5088003_077.m4a|う、うん！待ってぇ、ミサキちゃん！
vo_adv_5088003_084.m4a|これから、アキノさんが道具や商品を運んできてくれることになってるから、それを待ちましょう。もうちょっとで馬車が着くはずですぅ。
vo_adv_5088003_098.m4a|たくさん来てくれて、本当に安心したよぅ……！アヤネちゃんも、品出しや会計係、ありがとう♪
vo_adv_5088003_100.m4a|うん！　ミサキちゃんの呼び込みが上手だったから、いろんなお客さんに興味を持ってもらえたのも、とっても良かった……♪
vo_adv_5088003_104.m4a|…………私も……ミサキちゃんみたいに上手に呼び込みできたらいいのにな……
vo_adv_5088003_106.m4a|うん……♪牧場のネズミも、チーズが大好きだったのかなあ？
vo_adv_5088003_110.m4a|ネズミたちはリンさんに撃退されていなくなっちゃったから、今年はたくさんチーズが作れるって、マヒルさんたちが言ってたの。
vo_adv_5088003_116.m4a|そろそろ明かりを消さないと。あんまり遅くまで起きてると、明日、ベッドから出られなくなっちゃう。
vo_adv_5088003_119.m4a|うん、おやすみなさい。
vo_adv_5088004_001.m4a|ありがとうございますぅ。お品物、こちらです、どうぞ……
vo_adv_5088004_007.m4a|ミサキちゃん……すごいなぁ……わ、私も頑張らなくちゃ……！
vo_adv_5088004_008.m4a|えっと、その……！今日は特製クリームをたっぷり使ったクリームパンも……ありますよ……！
vo_adv_5088004_010.m4a|はっ、はい……！　ありがとうございますぅ……
vo_adv_5088004_014.m4a|い、いえ。そんなことありません！お孫さんと、仲良しなんですね……♪
vo_adv_5088004_016.m4a|へっ！？あっ、あります、けど……
vo_adv_5088004_018.m4a|ふえぇ、そ、そうなんですか……それは……うれ、しい……です……ぅ。
vo_adv_5088004_020.m4a|…………えっと、そのぅ……
vo_adv_5088004_021.m4a|そんなふうに言ってもらえるなんて……うう……すごく、うれしい……！
vo_adv_5088004_022.m4a|ちゃんとお礼を言いたいのに……！まだ、緊張して……
vo_adv_5088004_024.m4a|あ、あのぅ……ありがとう、ございます……
vo_adv_5088004_026.m4a|うぅ。違うんです、ちがうんですよぅ……！
vo_adv_5088004_029.m4a|最高かどうかはわかりませんけど……
vo_adv_5088004_031.m4a|はい……うれしくて……うれしいのに、お礼の一つも、ちゃんと言えなかった……！
vo_adv_5088004_032.m4a|私……ダメですぅ……ミサキちゃんみたいに上手に呼び込みもできなくて、接客も、得意じゃないし……っわ、私、足引っ張ってばっかりで……
vo_adv_5088004_033.m4a|救護院のために物産展をって、本当は、私が言い始めたことなのに……
vo_adv_5088004_034.m4a|ミサキちゃんやアキノさん、マヒルさんたちみたいに、みんなを笑顔になんて、できなくて……
vo_adv_5088004_036.m4a|ふぇっ！？ミサキちゃん、いったい何を……そんなの、できるわけないですよぅ……！
vo_adv_5088004_038.m4a|だけど、舞台をやるには、大掛かりな装置が必要で……だから、無理ですよぅ……
vo_adv_5088004_040.m4a|できるように……って言っても……どんなお話なら……？
vo_adv_5088004_042.m4a|昔話……は今まで何度かやらせてもらったけど……
vo_adv_5088004_045.m4a|でも、牧場のお話は楽しそうですぅ。どんなお話かっていうと思いつかないけど……うーん……
vo_adv_5088004_047.m4a|チーズ？リンさんが話してくれた話？でも、お芝居用のお話じゃないから……
vo_adv_5088004_049.m4a|確かに、リンさんの話に出てくるのは女の子が一人……ネズミは……張りぼてでも、一人芝居でも……どうにかできる、かなぁ……？
vo_adv_5088004_050.m4a|きっと難しいよぅ……それにもし上手にできなかったら、きっとみんなに迷惑になっちゃう。
vo_adv_5088004_051.m4a|牧場の手伝いも、物産展も今はどうにかこなせてるけど……舞台なんて、みんなを巻き込んで大きなことをやって……
vo_adv_5088004_052.m4a|もし、私が、失敗しちゃったら……？そうしたら……今までのことも、全部……無駄になっちゃいますぅ……
vo_adv_5088004_053.m4a|えっ、お兄ちゃん？
vo_adv_5088004_054.m4a|だけど、私だけじゃ……
vo_adv_5088004_056.m4a|う、うん……
vo_adv_5088004_061.m4a|うん、ありがとう。ミサキちゃん……♪
vo_adv_5088004_064.m4a|は、はい……っ！
vo_adv_5088004_066.m4a|え、なに？　ミサキちゃん。
vo_adv_5088004_068.m4a|うん、そうだね……♪
vo_adv_5088004_075.m4a|うぅ、ミサキちゃん～プレッシャーですぅ……！あの、私がどこまでできるかは……わからないけど……牧場や物産展にくるお客さんに、もっと笑顔になってほしくて……！
vo_adv_5088004_078.m4a|アキノさん？や、やっぱりだめ……ですよね……？
vo_adv_5088004_079.m4a|あのう、みなさんにご迷惑をおかけするわけには……やっぱり取り下げますから……！
vo_adv_5088004_081.m4a|……えっ？
vo_adv_5088004_085.m4a|ま、ま、待ってください～～……！そ、そんな大事にしたいわけじゃないんですぅ……！
vo_adv_5088004_090.m4a|あっ……えっと。お笑いじゃないよぅ……？
vo_adv_5088004_094.m4a|この前みなさんに話してもらった、チーズを守るお話を舞台にしようって思ってて……
vo_adv_5088004_096.m4a|えっ、ミサキちゃん、そんなの私……
vo_adv_5088004_101.m4a|そうなんですぅ。なんていうか……一人だけだとお客さんに楽しんでもらえるかやっぱり不安で……
vo_adv_5088004_103.m4a|盛りだくさんすぎですぅ。ミサキちゃん……
vo_adv_5088004_105.m4a|それは、そうなんですけど……でも、いくら派手にしても私一人なんですよぅ。限界がありますぅ……！
vo_adv_5088004_106.m4a|うぅ～……主人公のクルミは、どうやって一人でチーズを守れば……？どうやってネズミたちと戦えばいいんでしょう……
vo_adv_5088004_107.m4a|仲間……舞台裏にはたくさん、支えてくれる人たちがいますけど、だけど、演技ができるのは、私だけで……
vo_adv_5088004_111.m4a|…………！そうです、ミサキちゃん！　一緒に、やりませんか！？
vo_adv_5088004_113.m4a|ダメ、ですか……？ミサキちゃん、きっとお芝居に向いてると思うんです♪決断力があって、元気で、それにとっても前向きだから。
vo_adv_5088004_114.m4a|もしミサキちゃんが一緒にやってくれるなら……私、すごく心強い……！
vo_adv_5088004_115.m4a|それに、二人で舞台に立てるなら、台本もちゃんと作れそうな気がしてきました……♪
vo_adv_5088004_116.m4a|ミサキちゃん。……どうですか？
vo_adv_5088004_117.m4a|お願いします、ミサキちゃん。ミサキちゃんと一緒なら、きっと素敵な舞台ができると思うんです！
vo_adv_5088004_118.m4a|言っちゃった……！　無理なお願い、だけど！　でも！
vo_adv_5088004_121.m4a|ありがとう、ミサキちゃん……♪私、頑張って台本書きますね！
vo_adv_5088004_123.m4a|……はい！　もちろんですぅ！
vo_adv_5088004_124.m4a|頭に干し草のバケツを乗せて、落とさないように……いち、に、いち、にっ！
vo_adv_5088004_125.m4a|ミサキちゃん、そうです、視線はもうちょっとまっすぐで！お客さんよりもうちょっと高い位置を見るといいですぅ！
vo_adv_5088004_127.m4a|あっ！　牛さんが落ちた干し草を狙って……！牛さん、ダメですよぅ、それは干し草じゃなくてミサキちゃんです！
vo_adv_5088004_131.m4a|その調子です、ミサキちゃん♪
vo_adv_5088004_133.m4a|もちろんですぅ。私、牧場の手伝いをしていて気が付いたんです……♪牛さんを呼ぶ時の声、発声練習に使えるって。
vo_adv_5088004_134.m4a|背筋を伸ばして、はい、大きく胸いっぱいに息を吸い込んで……！せーのっ！
vo_adv_5088004_151.m4a|はい……がんばり、ますぅ……
vo_adv_5088004_152.m4a|こんな大事になるなんて……緊張、しますぅ……
vo_adv_5088005_040.m4a|……はぃ。だいじょうぶですぅ。舞台の前は、いつも……緊張するけど。いつも、始まる時はとっても怖いけど……
vo_adv_5088005_041.m4a|今日はお兄ちゃんも見ててくれるから……きっと何があっても平気。そんな気が、します……♪
vo_adv_5088005_043.m4a|えっ、えええと……そんなことはないですぅ……！一生懸命大丈夫っぽい感じにふるまってるだけでぇ……！
vo_adv_5088005_054.m4a|ミサキちゃん。行きましょう……♪
vo_adv_5088005_056.m4a|さぁ、幕が上がりますぅ。いっぱい練習してきたから、大丈夫！……ね？
vo_adv_5088005_057.m4a|それに……「難しいことでも楽しんでやっちゃうのが大人のレディってもの」ですから……！　一緒に、楽しみませんか……？
vo_adv_5088005_058.m4a|さぁ、手を繋いで。今度は、私が手を引く番ですぅ！
vo_adv_5088005_075.m4a|これは私たちが作った大切な、チーズ温泉饅頭！黄金のチーズと栄養たっぷりのミルクを使って作ったの！みんなの応援のおかげで、取り返すことができたわ！
vo_adv_5088005_078.m4a|この後も牧場を、たくさん楽しんでくださいね！
vo_adv_5088005_084.m4a|ミサキちゃん。とってもとっても、よかったですぅ♪
vo_adv_5088005_085.m4a|私も、一緒に舞台に立って……すごく、楽しかった……！
vo_adv_5088005_087.m4a|私もです……♪お兄ちゃんが見ててくれるし、ミサキちゃんがいてくれるし。舞台の向こうには、みんなが見守ってくれていて……
vo_adv_5088005_089.m4a|ミサキちゃん……私の背中を押してくれて、ありがとう……♪
vo_adv_5088005_091.m4a|さあ、最後の最後！　チーズダンス、みんな一緒に踊ってくださいね！
vo_adv_5088005_095.m4a|空耳、じゃ、なさそうですぅ……
vo_adv_5088006_000.m4a|ミサキちゃん……何が起こってるんだろう……？
vo_adv_5088006_005.m4a|いつも、助けてくれて……ありがとうございますぅ♪お兄ちゃ……じゃなくて、チーズナイト！
vo_adv_5088006_014.m4a|アヤネちゃん！？
vo_adv_5088006_021.m4a|じゃあ、お台所の鍋が消えてたのも……
vo_adv_5088006_025.m4a|アヤネちゃん……たしかに、私もそう思いますぅ。だけど、【牧場】のみなさんが一生懸命作ったチーズ……
vo_adv_5088006_030.m4a|あっ、あのぅ……！
vo_adv_5088006_031.m4a|……そんなこと、ないですぅ……！わ、私、ネズミさんにお願いしたいお仕事が……！
vo_adv_5088006_032.m4a|はい！私、ネズミさんたちに、悪役をやってほしいんですぅ……！
vo_adv_5088006_033.m4a|ミサキちゃんとの舞台、今日やってみて気が付いたんです。ネズミさんたちが襲ってきた時、戦ってる私たちを応援してくれるお客さんがすごく楽しそうで、生き生きしてて……！
vo_adv_5088006_034.m4a|だから、このミュージカルのために、すごく怖いネズミの役をやってもらえませんか？
vo_adv_5088006_035.m4a|最初、バイトを探したとき、私とミサキちゃんにはできない仕事がたくさんあったでしょう……？
vo_adv_5088006_036.m4a|でも、ここにきて、私たちにしかできないことも、たくさんあるんだってわかりました……♪
vo_adv_5088006_037.m4a|はい。怖くて、強いネズミさんがいれば……張りぼてのネズミさんよりももっと迫力が出て、お客さんが楽しんでくれるって思うんです♪
vo_adv_5088006_040.m4a|……引き受けてくれませんか？ネズミさん。
vo_adv_5088006_059.m4a|こうして黄金のチーズは守られました！怖い悪いネズミたちは、心を入れ替えてチーズの守護者となり……仲良く暮らすことになりました。
vo_adv_5088006_062.m4a|だから……みんなの近くにも、きっと！
vo_adv_5088006_071.m4a|はい！ねえ……ミサキちゃん。あのう……ありがとうございました……
vo_adv_5088006_073.m4a|私に、舞台をやってみたらって言ってくれたことですぅ。一人じゃ、きっとそんな勇気なかったから。
vo_adv_5088006_076.m4a|ふえぇ！？そっ、そ、そんなことないですぅ！私なんてまだまだ、本当に何もできなくて怖がりで……
vo_adv_5088006_078.m4a|う、うん……
vo_adv_5088006_082.m4a|はい！
vo_adv_5088006_088.m4a|楽しそうですね……♪
vo_adv_5088006_090.m4a|ホントですぅ……！ママ・サレン！　お帰りなさい！
vo_adv_5088006_115.m4a|演劇と一緒ですね……♪　ミサキちゃん！
vo_adv_5088006_120.m4a|で、でもアヤネちゃん。私たち、もう友達です。会いたくなったら、いつでも会えます♪
vo_adv_5088006_128.m4a|そうみたいですぅ。
vo_adv_5088006_130.m4a|うん。ミサキちゃん。…………おやすみなさい。
vo_adv_5088007_000.m4a|うーん……
vo_adv_5088007_002.m4a|あっ、アヤネちゃん。今、新しいお芝居の内容を考えてるの。
vo_adv_5088007_004.m4a|まだ考え中なんですぅ……！
vo_adv_5088007_007.m4a|そういうアヤネちゃんは、何をしてるの？
vo_adv_5088007_010.m4a|ありがとう、アヤネちゃん。
vo_adv_5088007_011.m4a|今度は救護院を守る女の子の話、もよさそう……
vo_adv_5088007_012.m4a|お兄ちゃん、いつもありがとうございますぅ♪こんなにたくさん、ですか？　すごい……
vo_adv_5088007_013.m4a|あて先は……「チーズお守り大作戦様」……今日ちょうどミサキちゃんが遊びに来る予定だからその時に一緒に開封しますね♪
vo_adv_5088007_014.m4a|えへへ……一緒にお手紙読むの、楽しみ……♪
vo_adv_5088007_016.m4a|あ！　ミサキちゃん！こんにちは……じゃなくて、お帰りなさい！
vo_adv_5088007_018.m4a|ちょうど今、お手紙をたくさんもらったところだったんですぅ。ミサキちゃんが来たら、一緒に開けようって思ってて。
vo_adv_5088007_021.m4a|こっちは、苦手だったチーズが食べられるようになったって……うれしいですぅ。
vo_adv_5088007_022.m4a|ミサキちゃん、また一緒に舞台、やりましょうね。
vo_adv_5088007_024.m4a|それに、また、牧場にもお手伝いに行きたいですね。
vo_adv_5088007_026.m4a|本当ですか、お兄ちゃん！ミサキちゃんも、行きますよね？
vo_adv_5088007_029.m4a|アヤネちゃん！アヤネちゃんもぜひ行きましょう……♪牛さんたちもとってもかわいいですよぅ。
vo_adv_5088007_031.m4a|楽しみですね……♪
vo_adv_5088007_057.m4a|お久しぶりです、マヒルさん。
vo_adv_5088007_062.m4a|ネズミさんたちは元気ですか？
vo_adv_5088007_068.m4a|はい……♪また、一緒に舞台に出られたらいいな。
vo_adv_5088007_071.m4a|はい。頑張りましょう……♪
vo_adv_5088101_000.m4a|どうしよう……サレンディア救護院の様子がおかしいですぅ……！
vo_adv_5088101_002.m4a|何とかして私たちのホームを守らなくちゃ！このままじゃ、サレンディア救護院は……
vo_adv_5088101_006.m4a|大切な救護院を守るために、私たちができること。探してみますぅ！！
vo_adv_5088203_001.m4a|後から後から子分が出てきて……いつ終わるか不安になっちゃいました。
vo_adv_5088204_001.m4a|う、うぅ……ネズミさんたち、まだ何かする気なのかなぁ……
vo_adv_5088301_000.m4a|うぅ～なんだか本気を出されちゃったみたいですぅ……だけど、逃げ出したりはしないの……！私たち、チーズの守護者ですから！
vo_adv_5088302_001.m4a|ミサキちゃん、そんなこと言わないで～！ここまで来たんだもの、もうちょっとのはずだよぅ……！
vo_adv_5088308_000.m4a|ど、どうしましょう、この迫力……！ここ、怖いけど、逃げませんからぁ……！
vo_adv_5088308_002.m4a|大人じゃないよぅ……！でも、絶対に負けない……！だってここは、私たちのステージだもの！
vo_adv_5088321_000.m4a|ち、小さいネズミたちがたくさん！後から後から出てきますぅ！
vo_adv_5088321_003.m4a|と、とにかく！　片っ端からやっつけるしかなさそうですぅ！
vo_adv_5088322_000.m4a|はぁ、はぁ……！ようやく小さいネズミさんを撃退できました！
vo_adv_5088322_005.m4a|後悔なんて、しません！わ、私たち、絶対に負けませんよぅ……！ね、ミサキちゃん！
vo_adv_5088323_005.m4a|……なんだか、気の毒ですね……やめられないんですか？
vo_adv_5088323_007.m4a|私たちが勝つ以外に、止めてあげられる方法はなさそうですね……
vo_adv_5088402_000.m4a|な、何とか勝てたみたい……？
vo_adv_5088402_002.m4a|ふふっ……私もですぅ。早く牧場に戻って、牛さんのお世話をしたり、温泉のお手伝いをしたいですぅ……
vo_adv_5088404_000.m4a|20体目ですね！む、夢中でしたけど……頑張りました♪まだまだこの先も長いから……
vo_adv_5088405_001.m4a|レディ……かどうかはわからないけど……ずいぶん戦った気がしますぅ。もうちょっと、頑張りましょうか。ミサキちゃん！
vo_adv_5088411_001.m4a|うん♪ミサキちゃんがあの日、救護院に来てくれなかったらどうなってたか……
vo_adv_5088411_004.m4a|ミサキちゃんはどこまでも階段を上ってっちゃいそうですぅ……♪
vo_adv_6088201_000.m4a|ミサキちゃんが言ってる大人のレディって、どんな人なんだろう。ママ・サレンみたいってだけじゃない気がするんだけど……
vo_adv_6088201_001.m4a|いろんな商売のアイデアを思いついてすぐ行動に移すのはかっこいいよね。ミサキちゃんも大人になったらバリバリ働くのかな？　すごいなぁ……
vo_adv_6088201_002.m4a|……はっ！？　そうだよね。マヒルさんも大人の人だよね。牧場の仕事をしてるマヒルさんは大人なはずなのに……なんでいっつも忘れちゃうんだろう……
vo_adv_6088202_000.m4a|ミサキちゃんと一緒の舞台……自分たちでいろいろと準備するのは大変だけど、演技にも役立ちそうです。みんなが明るい気持ちになってくれたらうれしいな。
vo_adv_6088202_001.m4a|そ、そんなことないですよぅ。一つ一つの舞台をこなすだけで精いっぱいです。でも、一生懸命丁寧にやっていけば、いつか、なれるのかな？
vo_adv_6088202_002.m4a|私が楽しまないとお客さんに伝わらないですもんね。うん。本番を楽しむためにもっと練習しないと。ミサキちゃんにも付き合ってもらわなきゃ！
vo_adv_6088203_000.m4a|エリザベスパークって、本当にのどかでいいところですね。牛さんも最初は怖かったけど、やさしいいい子たちばかりだし。もっといろんなお仕事を覚えてみたいな。
vo_adv_6088203_001.m4a|え、えっと、それは……そういう役ならやってみたいかもしれません。マヒルさんの相方は……難しそうなので、エリザベスさんとお兄ちゃんに任せます。
vo_adv_6088203_002.m4a|牧場警備……？　あ！　リンさんのことですね！そっか。そうですよね。チーズ以外も守ってるんですよね。うん、役作りによさそうだからお手伝いしたいです。
vo_adv_6088204_000.m4a|ママ・サレンのお友達のアキノさん……パワフルですごい人です。私ももう少しアキノさんみたいになれたら……
vo_adv_6088204_001.m4a|え、えーっと……こほん。おーほっほっほ！私、サレンディア救護院のクルミですわ！　さぁ、今日も楽しく商いしていきますわよ！　……何か違う気がしますぅ。
vo_adv_6088204_002.m4a|たくさん迷った分だけ素敵な大人になれる、っていうことでしょうか。いろいろ迷った上で今の素敵なアキノさんがいるんですね。うん、私もがんばります！
vo_adv_6088205_000.m4a|お客さんが喜んでくれてるみたいで本当によかったです。舞台と違ってお客さんと話すのは緊張するけど、直接声を聞けるのはいいものですね。
vo_adv_6088205_001.m4a|ランドソルの外でですか？　それはさすがに大変ですよ～でも救護院の庭でランドソルの外のものを紹介するのはよさそうです。アキノさんに相談してみようかな。
vo_adv_6088205_002.m4a|お客さんが参加する舞台もありますよね。そっか、そういう舞台もいいですよね。アドリブ力を鍛えておかないと。難しそうだなぁ。
vo_adv_6088206_000.m4a|ネズミさんたちは自分の居場所が欲しかっただけなんですよね。やり方は、その、よくなかったと思いますけど、私もサレンディア救護院のためだったらって……
vo_adv_6088206_001.m4a|お兄ちゃんがそういってくれるなら大丈夫……ですかね？ううん、お兄ちゃんに言われなくても大丈夫じゃなきゃいけませんよね。私、がんばります。
vo_adv_6088206_002.m4a|だめですよぉ～！　でも鍋をかぶってるネズミさんかわいかったな。ああいう衣装が出てくるお芝居なら楽しそうですね。
vo_adv_6088207_000.m4a|どうですか、お兄ちゃん。アキノさんに用意してもらったこの衣装。感想を聞かせてください。
vo_adv_6088207_001.m4a|さすがアキノさんですよね。こういう衣装もあるんだなーって驚き……え？　かわいいのは私、ですか。い、いきなりそんなこと言わないでください！
vo_adv_6088207_002.m4a|はい！　物産展でたくさんのお客さんに囲まれてると、なんだかお祭り気分になってくるんです。衣装ってそういうときも大切ですよね。
vo_adv_9003503_006.m4a|マサキさんっていう人のおかげで、あの子の手下の魔物たちは動けなくなってるはずだし……
vo_adv_9003507_010.m4a|……あっ！スライムたちが、カリザくんを連れてこうとしてるよ……！？
vo_adv_9003511_010.m4a|……あっ！スライムたちが、カリザくんを連れてこうとしてるよ……！？
vo_adv_9004010_007.m4a|どんなお茶にも合うクッキーもあって……とってもおすすめです……！
vo_adv_9005005_004.m4a|あっ、アヤネちゃん……！駄目だよぉ、タレがぷうきちに絡んじゃう……！
vo_adv_9005005_013.m4a|ふぇぇ～～ん！このお姉ちゃん、麦しゅわくさいよ～！
