vo_adv_1226001_000.m4a|南の島、楽しかったな……
vo_adv_5096004_022.m4a|そんな、全然迷惑なんかじゃありません。ぜひご一緒させてください。
vo_adv_5096004_023.m4a|……騎士クンも、みんなでいるほうがきっと楽しいよね……
vo_adv_5096004_034.m4a|え、ええっと～、わ、分かった！
vo_adv_5096004_035.m4a|……でもいいのかな、本当に……わたしたち、このままで……今のままで……
vo_adv_5096004_036.m4a|せっかくこうして一緒のチームでいられるのに、騎士クンへの気持ちを表現することを怖がってて……
vo_adv_5096004_037.m4a|……わたしは変わりたい。でも、わたしだけじゃ……ダメ、だよね……
vo_adv_5096004_038.m4a|３人で変わらないと。そうしないと……いつか……わたしたちの大切な関係が……壊れちゃう気がする……
vo_adv_5096004_039.m4a|そんなの絶対に嫌。ちゃんと、レイちゃんとヒヨリちゃんにわたしの想いを伝えないと……
vo_adv_5096004_040.m4a|……ヒヨリちゃん。レイちゃん。二人と少し、お話ししたいことがあるんだけど、いいかな？
vo_adv_5096004_042.m4a|あ……騎士クン、わたしたちも後で行くから、先にシズルさんたちと食べてて。
vo_adv_5096004_043.m4a|ありがとう。騎士クン、また後でね。
vo_adv_5096004_047.m4a|……うん。わたしたち３人で話したいことだから。
vo_adv_5096004_053.m4a|ヒヨリちゃん……？
vo_adv_5096004_056.m4a|わたしは気にしてないよ。だから気にしないで。それに今日のヒヨリちゃんは、とっても頑張ってたと思う。
vo_adv_5096004_060.m4a|えっと、ね。その……わたしたち、騎士クンと一緒に、たくさんの時間を過ごしてきたよね。だから騎士クンとは、すごく仲良くなれてるって思ってた。
vo_adv_5096004_061.m4a|だけど今日、騎士クンがいろんな人たちと一緒にいるのを見て、羨ましくなったの。わたしも、もっと仲良くなりたいって。
vo_adv_5096004_062.m4a|わたしは今よりももっと素直になって、成長して……自分の気持ちに正直なわたしになりたい。
vo_adv_5096004_063.m4a|騎士クンとまっすぐ向き合える自分に……
vo_adv_5096004_064.m4a|……騎士クンにちゃんと、好きって伝えられる自分に。
vo_adv_5096004_066.m4a|いつどこで、何が起きるか分からないから、自分の気持ちは伝えられるうちに、伝えておきたい。いつか……いつか必ず。
vo_adv_5096004_067.m4a|でも、二人に伝えたかったのは、そこじゃなくて。
vo_adv_5096004_068.m4a|わたし……騎士クンにだけじゃなくて、ヒヨリちゃんとレイちゃんにも、同じようにいたいなって思ってる。
vo_adv_5096004_070.m4a|……二人の騎士クンへの気持ち、聞いてもいいかな？
vo_adv_5096004_078.m4a|うん。ヒヨリちゃんが騎士クンのことをどう思ってるのかっていうのは、ずっと一緒にいるから分かるよ。
vo_adv_5096004_079.m4a|ずっと一緒にいるから、ヒヨリちゃん自身が分かってないところも分かってるつもり。
vo_adv_5096004_080.m4a|……ヒヨリちゃん。誰かを大切だって……好きだって思うのを、ためらわないで。
vo_adv_5096004_083.m4a|そんなことない。その気持ちって、すごく素敵なものだし、勇気やきっかけになってくれるから。
vo_adv_5096004_085.m4a|わたしも騎士クンが大好きだから。優しくて、勇気があって、頑張り屋さん……そんな騎士クンを好きなのが、わたしだけなはずないよ。
vo_adv_5096004_086.m4a|叶うなら、騎士クンにわたしを好きになってほしい……いつか、騎士クンに好きになってもらえるような女の子になりたい……それが今の、わたしの目標なの。
vo_adv_5096004_087.m4a|ヒヨリちゃんは、騎士クンに好きになってもらえたらうれしい？大切に思ってほしい？
vo_adv_5096004_091.m4a|うん。これからは無理にわたしに遠慮したりしないで。自分の気持ちに、素直でいてほしい。それが二人に伝えたかったこと。
vo_adv_5096004_095.m4a|これからは、わたしたちの気持ちに……ええっと、こういうのなんて言えばいいんだろう……？
vo_adv_5096004_097.m4a|わたしが二人にお話ししたかったのは、これで全部だよ。……改めて、これからもよろしくね。
vo_adv_5096005_000.m4a|おはよう騎士クン。昨日はよく眠れた？
vo_adv_5096005_020.m4a|ボートレース……力いっぱい漕ぐよりも、息を合わせるのが大事になりそうだね。
vo_adv_5096005_048.m4a|待ってヒヨリちゃん！　焦ったりしたら危ないよ！
vo_adv_5096005_056.m4a|ヒヨリちゃん、気づいてなかったの……？……ごめんね。わたしが昨日、あんなこと言っちゃったせいだ……逆効果になっちゃってたなんて……
vo_adv_5096005_065.m4a|きゃああああっ！！
vo_adv_5096005_081.m4a|なっ、なに！？
vo_adv_5096005_088.m4a|……そっか。
vo_adv_5096005_090.m4a|わたしたちも、応えなきゃね。
vo_adv_5096005_102.m4a|マコトちゃんたち、息が合わなくなってる！これなら……！
vo_adv_5096005_123.m4a|モニカちゃんたち、息がピッタリ合ってる！
vo_adv_5096005_132.m4a|レイちゃん！　ヒヨリちゃんを信じよう！
vo_adv_5096005_144.m4a|モニカちゃんたちと競り合ってた時、ドキドキして手が震えてたよ……
vo_adv_5096005_146.m4a|ヒヨリちゃん……！
vo_adv_5096006_009.m4a|ええっと……この大会は、チームで参加するものですよね……？
vo_adv_5096006_019.m4a|騎士クンも、わたしたちに遠慮しないで走って。わたしたちは騎士クンにも、そうしてほしいから。
vo_adv_5096006_038.m4a|……わたしたちがこんなふうに競い合うって、きっと初めてだよね？
vo_adv_5096006_041.m4a|こちらこそ！　……騎士クンも、よろしくね。
vo_adv_5096006_046.m4a|みんな早い！　もう出遅れちゃった！？
vo_adv_5096006_048.m4a|二人や騎士クンと対等で遠慮なく競い合ったら、奇跡が起きない限り、負けるのは分かってた……
vo_adv_5096006_049.m4a|それでも、止めようって気持ちにはならなかったし、諦めようとも思わなかった。
vo_adv_5096006_050.m4a|……後悔してないって言ったら嘘になるけど、今はただ、自分の力を出し切りたい……！
vo_adv_5096006_074.m4a|はあっ、はあっ……！
vo_adv_5096006_075.m4a|えっ！？　きゃああああっ！！
vo_adv_5096006_088.m4a|待ってて、今回復魔法を……！
vo_adv_5096006_097.m4a|まかせて！　すぐに済ませる！
vo_adv_5096006_100.m4a|じゃあ今ので、仲間が集まってくる……？
vo_adv_5096006_110.m4a|そんな……！
vo_adv_5096006_113.m4a|逃げましょう！　このままだと取り囲まれます！
vo_adv_5096006_119.m4a|この光……体の奥から力が湧いてくる！
vo_adv_5096006_124.m4a|もし動けるなら、他の人たちの避難誘導をお願いします！光の精よ、みんなに加護を！
vo_adv_5096006_146.m4a|こんなにたくさんの人たちが、一緒に戦ってくれるんだ……！みなさん、よろしくお願いします！
vo_adv_5096007_002.m4a|さっきまであんなに暴れてたのに、どうしたんだろう……？
vo_adv_5096007_007.m4a|？　あなたたちは……？この島の方ですか？
vo_adv_5096007_019.m4a|あの……どうしてこんなことをしてしまったのか、聞かせてもらえますか？
vo_adv_5096007_022.m4a|……続きを聞いても、いいですか？
vo_adv_5096007_035.m4a|……だ、大胆ですね……！
vo_adv_5096007_037.m4a|愛してる人に、あんなに素直に気持ちを伝えられるんだ……
vo_adv_5096007_079.m4a|あぁ騎士クン。手伝ってくれる人たちに、何をしたらいいか伝えてあげてくれる？
vo_adv_5096007_082.m4a|……ヒヨリちゃん。レイちゃん。一つ、聞いてもいい？
vo_adv_5096007_085.m4a|さっきみんなで走った時ね……結果は負けちゃったけど、すごく気分がよかったの。
vo_adv_5096007_088.m4a|わたしはこれからも、あんなふうにみんなと過ごしていきたい。だから……
vo_adv_5096007_098.m4a|わたしが、昨日の夜……！
vo_adv_5096007_106.m4a|あわわわわ……！
vo_adv_5096007_112.m4a|ええっと、騎士クンは……そうだ！ゴールに旗を置いてほしいの！　お願い！
vo_adv_5096007_116.m4a|そうだね。まだ秘密にしておいてもらわないと……
vo_adv_5096101_003.m4a|ヒヨリちゃん。ゴーグル、机の上に置いてあったよ？
vo_adv_5096101_006.m4a|えっ！？　う、うん！でもなんだか落ち着かなくて……
vo_adv_5096101_008.m4a|騎士クンも、楽しみにしてくれてるかな……？
vo_adv_5096203_001.m4a|よかった……！二人とも怪我はない？
vo_adv_5096203_003.m4a|大変！　レイちゃん、動かないでね。すぐに治してあげるから！
vo_adv_5096203_005.m4a|もう、そういうことじゃなくて……仲間が怪我したら、心配するのは当たり前だよ。
vo_adv_5096204_002.m4a|お、おーっ！　そうだよね……わたしもがんばらないと……！
vo_adv_5096301_000.m4a|どうして魔物がビーチに……！みんなを守らないと……！
vo_adv_5096301_005.m4a|じゃあ……これが終わったらまたゲームで対決しようか。もちろんちゃんと体力を回復してからね。
vo_adv_5096302_000.m4a|あれ？　この魔物、さっきの……！？海に帰ったと思ったのに……！
vo_adv_5096308_002.m4a|雰囲気が違うね……今までよりも協力しながら戦わないと危ないよ！
vo_adv_5096321_002.m4a|こんなのに当たっちゃったら、気を失うくらいじゃ済まないよ……！レイちゃん、ヒヨリちゃん！なんとか魔法で防いでみるから、その間に攻撃して！
vo_adv_5096322_004.m4a|……どうしてかな……すごい説得力を感じる……！
vo_adv_5096323_000.m4a|……なんとかここまで戦って来たけど、すごい強さ……！
vo_adv_5096323_004.m4a|うん……わたしもまだ、海でいっぱい遊びたい。みんなと、騎士クンと！
vo_adv_5096323_007.m4a|願いの強さなら、負けたりしない……！
vo_adv_5096402_000.m4a|ふぅ……お、終わった……？あの魔物、今度こそ帰ってくれたよね……？
vo_adv_5096402_003.m4a|あはは……でもそう言われたら、海に帰っていく姿が、ちょっと満足そうに見えた気がする。
vo_adv_5096402_009.m4a|……そっか。ヒヨリちゃん、騎士クンにお礼を言いたかったんだ。
vo_adv_5096402_012.m4a|もちろん。じゃあ、３人で騎士クンを表彰しよっか。
vo_adv_5096403_000.m4a|これで10体目だね。騎士クン、疲れてない？
vo_adv_5096411_001.m4a|えっと、わたしは大丈夫、だけど……
vo_adv_5096411_004.m4a|あはは……ヒヨリちゃん、さっきからずっとこうなの。
vo_adv_5096411_008.m4a|えっ！？　その……ヒヨリちゃん、行っちゃったから……仕方がないかなって……えへへ……
vo_adv_5096700_002.m4a|本当だ。みんな水着で、準備万端って感じだけど……
vo_adv_5096700_004.m4a|あの、どうしてわたしたち、呼ばれたんでしょうか？この集まりは一体……
vo_adv_5096700_007.m4a|ヒヨリちゃん、見て。少し違うみたい。なんだかいろいろな仕掛けが増えてるような……
vo_adv_5096700_013.m4a|ふふっ。わたしも挑戦してみたいな。せっかくの夏の海だし、後悔がないように全力で楽しみたいの。レイちゃんやヒヨリちゃんと競うのも……楽しかったし。
vo_adv_5096701_002.m4a|わたし、走ってる最中にあの仕掛けどうやってるんだろうって……すっごく、気になっちゃった……
vo_adv_5096701_005.m4a|わたしも……二人に並んで、走りたかったから。でもやっぱり、レイちゃんとヒヨリちゃんはすごいなぁ。
vo_adv_5096701_009.m4a|……レイちゃんもヒヨリちゃんも、少しずつ変わってきてる。大変なこともあったけど、ここに来てよかった。
vo_adv_5096701_010.m4a|いつもは仲よく協力して。だけど時々は、想いをしっかり伝えあって。そうやって絆を深めて、分かりあっていく。
vo_adv_9003504_005.m4a|えっ！？ラ、ラジラジさんは力を使い果たしちゃって、休んでるけど……
vo_adv_9003504_017.m4a|えっと、えーっと……とにかく、騎士クンはわたしたちが守るから！──光の精よ！
vo_adv_9003508_010.m4a|えっ！？ダ、ダイゴさんっ？
vo_adv_9003508_019.m4a|と、とにかく！これで、レイちゃんたちの援護に行けるね！
vo_adv_9003512_010.m4a|えっ！？ダ、ダイゴさんっ？
vo_adv_9003512_019.m4a|とにかく……他の【レイジ・レギオン】の人たちもどうにかなったみたいだし。とりあえず、ペコリーヌちゃんのところに合流しよっか。
vo_adv_9003514_005.m4a|うん、大変だったけど……みんなが力を貸してくれたから！
vo_adv_9004013_002.m4a|わあぁっ！？　ヒヨリちゃん！それはまだ秘密にしとかなくっちゃいけないやつでっ……！
vo_adv_9004013_013.m4a|私も同じ気持ちだよ。騎士クンと、みんなと。こうやって一緒にいられる平和な時間がいつまでも続いてくれたら、って思う。
vo_adv_9004013_016.m4a|クッキーを焼いてたんだ。騎士クン、きっとおなかが空いてると思って。
vo_adv_9004016_006.m4a|こんにちは～
vo_adv_9004017_011.m4a|秘密にしててごめんね、騎士クン。
vo_adv_9005002_002.m4a|……シェフィちゃん？どうかしたの？　なんだか悩んでるみたいだけど……
vo_adv_9005002_007.m4a|きっ、騎士クンにプレゼント……！？え、ええっと……レ、レイちゃんはどうかなっ？
vo_adv_9005002_011.m4a|わたしだったら……そうだね。わたし自身の想いが伝わるものを、選ぶと思う。
vo_adv_9005002_013.m4a|そのプレゼントを見返した時、騎士クンが笑顔になれるようなもの。わたしのことを……少しでも、思い浮かべてくれるような。
vo_adv_9005002_014.m4a|……って、わたしったら何言ってるの……っ！？ご、ごめんなさいシェフィちゃんっ！こんなの全然参考にならないよねっ！？　忘れて～っ！
vo_adv_9005002_018.m4a|……ふふっ。シェフィちゃん、いい顔になったね。
