vo_adv_1220001_000.m4a|あ、{player}さん、こんにちは。お待ちしていました。
vo_adv_7018005_094.m4a|あの……みなさんは先に戻っていてください。私は少し休んでからいきますので。
vo_adv_7018005_098.m4a|スズメさん……ではお願いします。
vo_adv_7018005_101.m4a|あの……重くないですか……？
vo_adv_7018005_104.m4a|ふふっ……ありがとうございます、スズメさん。
vo_adv_7018005_108.m4a|スズメさんらしいですね。あの……よければまた、占わせてもらってもいいですか？私もスズメさんに協力したいんです。
vo_adv_7018005_109.m4a|依頼という形ではなく、あくまでプライベートとして……つまり私の修行のため……ということで、どうでしょう？
vo_adv_9004009_005.m4a|だとしたら、少しタイミングが悪かったかもしれません。あの人はちょうど、調査に出かけてしまったところなので……
vo_adv_9004009_011.m4a|ふふ、あなたは霊界とこの世界をつないでくれる、世界にとってとても重要な存在ですね。
vo_adv_9004009_012.m4a|これからのあなたは、霊界だけではなく、もっといろんな世界をつないでいくかも……そう、霊のみなさんが噂していますよ。
vo_adv_9004009_021.m4a|ふふっ、みんな張り切って作っていたのでぜひ食べていってくださいね。……私のものも、よろしくお願いします。
vo_adv_9005007_005.m4a|もちろんわかります……と言いたいところですが、占うのはやめておいた方がいいでしょう。答えだけを与えられて用意するプレゼントに意味はありません。
vo_adv_9005007_009.m4a|ミヤコさんは絶対にプリンだと思ったので……
