vo_adv_1040009_000.m4a|HEY　YO！　私！　前途洋々！ニューフレンド！　自然とあがる抑揚！
vo_adv_5068001_170.m4a|団長さん、このバイトに誘ってくれてありがとうございますっ！
vo_adv_5068001_171.m4a|最初は本当に不安で、不安で……森から出られなくなるように、地面に足を埋めようかとも考えたりしていましたが……
vo_adv_5068001_172.m4a|でも、今ではやってみて良かったと思ってますっ！
vo_adv_5068001_173.m4a|はい！マイフレンドくんのためにも、一生懸命がんばります！
vo_adv_5068002_000.m4a|…………うん、よし！
vo_adv_5068002_001.m4a|ほら見てマイフレンドくん！あなたの新しい友達のパーツがいっぱいだよ！
vo_adv_5068002_002.m4a|これは右手で……あっ、これは羽かな？すごい！　飛べるって設定なんだね！　かっこいいなー！
vo_adv_5068002_003.m4a|そういえばね、100体作られるんだって。私よりも先に友達100人達成だね！！
vo_adv_5068002_004.m4a|いいなー、うらやましいなー！良かったね、マイフレンドくん！
vo_adv_5068002_006.m4a|友達100体かあ……自分のことみたいにうれしいなあ……！マイフレンドくんのために、がんばって作るからね！
vo_adv_5068002_007.m4a|言ったからには、ちゃんと約束は守るよ。なんなら指切りでも……！針10億本でも約束できるくらい、責任を感じてるから……！
vo_adv_5068002_008.m4a|きつい立ち仕事の合間の昼休憩……心と体を癒す貴重な工場のオアシスですね……！
vo_adv_5068002_009.m4a|はい、おかげさまでだいぶ！
vo_adv_5068002_010.m4a|あ。でも、慣れたかどうかは他人が判断することであって、工場への貢献度を自分の中の物差しで測ってはいけませんよね。
vo_adv_5068002_011.m4a|そうした自己評価と他者評価のズレが、『ちぇっ！　この会社はオレのことなんかなんも分かっちゃいねえ！』などと、入社から半年そこそこで退職する若者に多いと聞きます。
vo_adv_5068002_012.m4a|ですから、この場合の「慣れた」という私の発言は、あくまで私個人の見解だということを予めご了承ください。
vo_adv_5068002_013.m4a|で、ではそういうことで……でも、私はどんな評価でも受け止める覚悟はできているのでご心配なく！
vo_adv_5068002_014.m4a|さて。午後からもマイフレンドくんのために、がんばって働きますよ！
vo_adv_5068002_015.m4a|だ、団長さんにはそう見えますか……？
vo_adv_5068002_016.m4a|でも……このバイトを始めてから、マイフレンドくんと会話する時間が、前よりも増えたかもしれません。
vo_adv_5068002_017.m4a|ここに来る前までは、ネタ集めが大変でした……けど、最近は共通の話題が多いんですよね。
vo_adv_5068002_018.m4a|毎日のランチのメニューに、楽しみな作業のこととか、あとは、なんといってもバイト仲間作り計画について……！
vo_adv_5068002_019.m4a|それに、ここ最近はずっとマイフレンドくんのお友達を作っているから、だんだん感情移入してきちゃったのかも……
vo_adv_5068002_020.m4a|マイフレンドくんと本物の友達になんて、なれるんでしょうか…………なんて。すみません、変なこと言っちゃいましたかね。
vo_adv_5068002_021.m4a|そうですか……
vo_adv_5068002_022.m4a|もし私がマイフレンドくんの友達なら、彼の友達は、私も入れて101人ということに……！なんてすごい数なんでしょう……！
vo_adv_5068002_023.m4a|はい！　がんばりましょう！
vo_adv_5068002_027.m4a|そ、そんなはずは……ぼっちの私なんかが、みなさんのお役に立つだなんて……
vo_adv_5068002_028.m4a|でも、リーダーさんの言うことが本当なら、こんな私でも胸を張って堂々とバイト代を受け取ってもいいんですね！？
vo_adv_5068002_032.m4a|はっ！　まさか、もうクビっ！？しかも全従業員の前で、お昼休み明けに！？そんな……そんなぁ～！！
vo_adv_5068002_034.m4a|ほっ……クビじゃなくて良かった……
vo_adv_5068002_035.m4a|いやでも待ってください！　まだ安心はできませんね！
vo_adv_5068002_036.m4a|二人も雇う体力が工場にないから、優秀そうなどちらかを選ぶと決まり……私はやっぱりクビになるんです！　この直後に！
vo_adv_5068002_069.m4a|あ、あの……タ、タマキさんっ！！
vo_adv_5068002_071.m4a|その……タマキさんに仕事の説明をしてほしいって、リーダーさんから頼まれて……
vo_adv_5068002_072.m4a|あっ、申し遅れました！私、アオイです！　よろしくお願いしますっ！
vo_adv_5068002_074.m4a|はい！　一緒にＢＢ団というグループを組んでいます！
vo_adv_5068002_080.m4a|あの、タマキさん……？どうしたんですか、ボーッとしちゃって。
vo_adv_5068002_082.m4a|そうですか……なら良かったです。何かすごく真剣に考え込んでいたように見えたので。
vo_adv_5068002_083.m4a|……それでですね。団長さんと私は、ぼっちとバイバイするために、一致団結したというわけです。だから略してＢＢ団なんですっ！
vo_adv_5068002_085.m4a|す、すみませんっ！　ビジネスの話をしに来たのに、私と団長さんとの出会いを語ってしまいました！
vo_adv_5068002_086.m4a|こほん。では説明しますね。今この工場で作っているのは──
vo_adv_5068002_087.m4a|というわけで、マイフレンドくんの友達作りにお付き合いお願いします！
vo_adv_5068002_090.m4a|勘違い……？
vo_adv_5068002_095.m4a|リーダーさん、すごい気合いですね……効率かぁ……ミスに気をつけて、周りに迷惑かけないようにしなくちゃ。
vo_adv_5068002_096.m4a|こんな大事な時期にやらかしたりでもしたら、一発KOで即クビですよね……？　ううっ……緊張で手汗が……！
vo_adv_5068002_097.m4a|そうなったらこれまでのバイト代も没収されて、マイフレンドくんの腕は一生ブラブラしたままです……
vo_adv_5068002_098.m4a|そうならないように……っとっとっと？　とわああ！？手汗で滑って、完成品があっ……！
vo_adv_5068002_101.m4a|あわわわわわっ！あ、ああ、ありがとうございますっ！
vo_adv_5068002_103.m4a|は、はいっ！
vo_adv_5068002_104.m4a|はあ……なんて頼れる上司なんでしょうか。
vo_adv_5068002_105.m4a|ああいう仕事ができるようになれば、自然と周りの人もついてきて、友達もいっぱい増えるんだろうなあ。
vo_adv_5068002_106.m4a|よおーし、私もできるアルバイターになるぞー！
vo_adv_5068002_111.m4a|タマキさんすごいです！　手先がものすごく器用なんですね！そんなスキル、どこで身に付けたんですか？
vo_adv_5068002_113.m4a|ワクワク……！
vo_adv_5068002_115.m4a|なるほど！　身近なトラブルの解決屋さんなんですね！
vo_adv_5068002_122.m4a|……ひゃ、100！
vo_adv_5068002_123.m4a|やったー！　できましたー！
vo_adv_5068002_124.m4a|マイフレンドくんに、こんなにも友達がいっぱい……良かったね！
vo_adv_5068002_125.m4a|私なんかよりもたくさん友達がいるから、もっと敬わないとバチが当たっちゃうかも……
vo_adv_5068002_137.m4a|『みんなのトイフレンドくん』……？とってもいい名前だと思います……！
vo_adv_5068002_140.m4a|それって、まるで友達のようですね……！
vo_adv_5068002_141.m4a|『みんなのトイフレンドくん』たち、みんなそれぞれに子どもの友達ができるってことですね！
vo_adv_5068002_142.m4a|そして『だいじょぶマイフレンドくんＶ４』は、そんな『みんなのトイフレンドくん』たちと友達……！
vo_adv_5068002_143.m4a|すごいなあ、すごいなあ！マイフレンドくん、いっぱい友達ができたよ！　私もうれしいなあ！
vo_adv_5068002_148.m4a|お祝い？　歓迎会？まさか……まさかっ……！
vo_adv_5068002_151.m4a|……か、かん、かんん……かんかん照りの貫太郎ー！
vo_adv_5068002_152.m4a|はあ……まさかとは思ったけど、やっぱりパーティーだなんて……この儀式を始める呪文を、ぼっちの私が口に出した瞬間に、喉が焼き切れてしまいます……
vo_adv_5068002_167.m4a|らんらんら～♪
vo_adv_5068002_168.m4a|やっぱり隅っこって落ち着くなあ～！ここの倉庫は箱がいっぱい積まれてて、身を隠すには最適です！
vo_adv_5068002_169.m4a|そうそう。パーティーみたいな賑やかな場に馴染めなくて、壁際にずっと立ってる人のこと、壁の花って言うんだよね。
vo_adv_5068002_170.m4a|マイフレンドくんは知ってた？
vo_adv_5068002_172.m4a|そっか、そうだよね〜！私とずっと一緒にいるんだもん。よく知ってて当然かあ〜！
vo_adv_5068002_174.m4a|ん？　マイフレンドくん、何か言った？
vo_adv_5068002_176.m4a|そうですね。私に花なんて例えは似合わないから、壁の枯れた雑草ってところがぴったりだね！　ナイスツッコミ！心にグサっと突き刺さったよ！
vo_adv_5068002_178.m4a|ん……？　これは……マイフレンドくんの声じゃない……ま、まさか！
vo_adv_5068002_179.m4a|打ち上げという賑やかな空間に適応できず、ついにぼっちの極致に至ってしまい、無意識で脳内に新しい友達を作り出してしまったのかも！？
vo_adv_5068002_181.m4a|ひいぃぃっ！？　幻聴じゃないっ！？
vo_adv_5068002_182.m4a|ということは……なーんだ、実際に誰かが叫んでいるだけでしたか。
vo_adv_5068002_183.m4a|良かった……ついにぼっちのマイナスエネルギーが全身の神経に回って、おかしくなったのかと思いました。
vo_adv_5068002_184.m4a|拝啓、ミサト先生。エルフの森を離れて数週間が経ちましたが、都会の荒波に揉まれつつも、なんとかギリギリの状態で日々を過ごしています。かしこ。
vo_adv_5068002_186.m4a|な、なんて高圧的な態度なんでしょう……パーティーの最中に、こんな倉庫の隅に私以外にも人がいるなんて……
vo_adv_5068002_187.m4a|もしかして、従業員の誰かが昼寝してる間に、箱に埋もれちゃって出られなくなったとか……！　た、大変ですっ！
vo_adv_5068002_188.m4a|たしかこのあたりから聞こえてきたような……
vo_adv_5068002_189.m4a|あわわっ！こ、この箱だ……中に誰か入ってるのかな……？でもこんなところに入れる人なんているわけが……
vo_adv_5068002_190.m4a|も、もしかして……ドッキリ大作戦？
vo_adv_5068002_191.m4a|打ち上げパーティーの余興で、私を驚かせて、その反応を見て楽しもうという魂胆？
vo_adv_5068002_192.m4a|わ、分かりました！　これもぼっちとして生まれた者の定めです！今すぐに開けて、みなさんが喜ぶようなリアクションをとってみせます！
vo_adv_5068002_193.m4a|…………えいやっ！
vo_adv_5068003_007.m4a|あわわわ……
vo_adv_5068003_009.m4a|リ、リーダーさん……！あ、あの……おもちゃが……勝手に動いて、喋って……！
vo_adv_5068003_013.m4a|やっぱりリーダーさんたちも見えてますよね……？良かった……私の幻覚じゃなくて……
vo_adv_5068003_032.m4a|その答えはきっと…………ぼっちだからです。
vo_adv_5068003_034.m4a|で、では……せ、僭越ながら、私が説明させていただきますね……！
vo_adv_5068003_035.m4a|私が持ち合わせていたぼっち精神と……箱の中にずっと閉じ込められていたことで芽生えたこのおもちゃ……トイキングさんのぼっち精神が共鳴したんだと思います。
vo_adv_5068003_037.m4a|ええ、ぼっちならざる者には持つことのできないものです……！なので、ぼっちである私には、声が聞こえたんだと思います……！
vo_adv_5068003_038.m4a|そして、みなさんにも声が聞こえるようになったのは、トイキングさんが喋れるという認識をしたからじゃないかと……多分。
vo_adv_5068003_040.m4a|例えば……普段から近くにいたのに、影が薄いせいで気付かれない人が、ある時ふとしたきっかけで、途端に視界に入るようになるってこと……ありませんか？
vo_adv_5068003_041.m4a|今回のことも、それと同じことなんじゃないかって思うんですけど……これはぼっちあるあるの一つなんですが……
vo_adv_5068003_053.m4a|おもちゃを引き取る……？ここは製造工場なのにですか？
vo_adv_5068003_074.m4a|わ、私のおかげ……？ぼっちだったことが生まれて初めて役に立ちました！
vo_adv_5068003_075.m4a|悪いことばかりじゃないんですね、ぼっちって……！
vo_adv_5068003_076.m4a|はいっ！　トイキングさんの新しい友達作りですね！
vo_adv_5068003_078.m4a|ぼっち精神を持つ者同士、がんばりましょう……！
vo_adv_5068003_113.m4a|みんな、楽しく遊んでくれてますね……！
vo_adv_5068003_114.m4a|ううっ！　ぼっちの私には眩しすぎて目が潰れそうですっ！
vo_adv_5068003_116.m4a|わ、分かるんですか？ということは、彼らもあなたみたいに意志が？
vo_adv_5068003_118.m4a|そっかあ。あの子に遊んでもらってるトイフレンドくんも、楽しんでくれてるといいなあ。
vo_adv_5068003_124.m4a|ひゃあっ！？
vo_adv_5068003_127.m4a|あう……これは、その……
vo_adv_5068003_131.m4a|あわわわわわわわ…………
vo_adv_5068003_132.m4a|はあ～……へとへとです……子どもの純粋な眼差しで、ぼっちの私は溶けてしまいそうでした……
vo_adv_5068003_134.m4a|は、はいー！
vo_adv_5068003_135.m4a|た、たくさん箱が届きました……なんだろう、おもちゃの材料かな……？
vo_adv_5068003_136.m4a|ひぃっ！？目玉が飛び出てる人形に、お腹が裂けて綿が出てるぬいぐるみ！？
vo_adv_5068003_142.m4a|あっ、トイキングさん……！あのね、さっき届いた物なんだけど……
vo_adv_5068003_167.m4a|……？　トイキングさん、何か言いました？
vo_adv_5068003_170.m4a|工場長、お疲れさまです……！あ、あの……荷物が届いてますよ……！
vo_adv_5068003_172.m4a|う、うれしい……？ボロボロのおもちゃがいっぱいなのに……？
vo_adv_5068003_175.m4a|じゃあ、このおもちゃたちは、ここで修理するために届けられたんですね？
vo_adv_5068003_178.m4a|ちょ、ちょっと待ってください……！
vo_adv_5068003_179.m4a|それじゃあ、もしかしてトイキングさんって……修理のためにこの工場へ……？
vo_adv_5068003_181.m4a|ということは、彼の持ち主は、トイキングさんが返ってくるのを、ずっと待ってるんじゃ……！？
vo_adv_5068003_187.m4a|そうなんですね。良かったです……持ち主を待たせてなくて……
vo_adv_5068003_191.m4a|トイキングさんなら、工場長が帰ってくる前に、どこかへ行きましたよ。
vo_adv_5068003_193.m4a|それにしても、ここで修理もできるなんて知りませんでした。バイトに来てから、おもちゃを作ってばかりでしたから……
vo_adv_5068003_194.m4a|あの、工場長……ただ元通りに修理するだけじゃなくて、かっこよくカスタマイズすることもできますか……？
vo_adv_5068003_196.m4a|そ、そうなんですね……！じゃあマイフレンドくんもお願いしてもいいですか？バイト代が貯まったら、ここでかっこよくカスタマイズしてください！
vo_adv_5068003_198.m4a|わあっ！　それいいですね！
vo_adv_5068003_199.m4a|楽しみだね、マイフレンドくんっ！絶対にかっこよくしてあげるからねっ！
vo_adv_5068004_000.m4a|見たことのない作りのおもちゃですね……どうやって直せばいいんでしょう……？
vo_adv_5068004_002.m4a|な、なるほど！　ありがとうございます、リーダーさん！やってみますっ！
vo_adv_5068004_034.m4a|わ、わわわ、分かりました……！け、けどこんな大変なこと……わわわ、私なんかが行っても……！
vo_adv_5068004_036.m4a|で、でででも……みんなで作ったおもちゃが、子どもたちに怪我させるなんて──んぐっ！？
vo_adv_5068004_038.m4a|ハハヒはんっ！？
vo_adv_5068004_046.m4a|……んぐっ！
vo_adv_5068004_047.m4a|わ、分かりました！　……リーダーさん、私も行きますっ！
vo_adv_5068004_052.m4a|はいっ！
vo_adv_5068004_054.m4a|い、いました！　『トイキングJr.』です！ほ、本当に動いて、子どもを追いかけ回してますよ〜！
vo_adv_5068004_056.m4a|えいっ！！
vo_adv_5068004_057.m4a|ふう……とりあえず一体回収です。け、けけ、怪我はありませんか？
vo_adv_5068004_059.m4a|ひいいっ！
vo_adv_5068004_061.m4a|リーダーさん、すごい動き……一瞬で３体もまとめて回収しました！
vo_adv_5068004_093.m4a|わ、わわ、私に任せてください！
vo_adv_5068004_095.m4a|え？
vo_adv_5068004_096.m4a|ひいいい〜〜〜〜〜っ！？
vo_adv_5068004_097.m4a|で、でも……子どもたちのために……！タマキさんとも約束したからっ！
vo_adv_5068004_098.m4a|悪さをするのはそこまでですっ！もう子どもたちを追いかけ回したりはさせませんっ！
vo_adv_5068004_099.m4a|危ない工具だけを狙って……はあああっ！！
vo_adv_5068004_100.m4a|か、回収してきました〜……！みんなすばしっこくて、大変でした……
vo_adv_5068004_103.m4a|分かりましたっ！
vo_adv_5068004_105.m4a|手当たり次第に回収してきましたけど……出荷したのは1000体ですからね……これで終わりだとは……
vo_adv_5068004_106.m4a|それに、オリジナルのトイキングさんも捜さないと……彼はどこにいるんでしょうか……
vo_adv_5068004_110.m4a|それってもしかして……
vo_adv_5068004_117.m4a|分かりましたっ！
vo_adv_5068004_122.m4a|い、いましたっ！　トイキングさんです！
vo_adv_5068004_125.m4a|どうやってるかは分からないけど、Jr.たちを動かしてるのは、あなた……トイキングさんなんですね……？
vo_adv_5068004_126.m4a|何があったのかは分からないけど、やめてくださいっ！
vo_adv_5068004_128.m4a|こ、子どもたちと友達に……！？
vo_adv_5068005_000.m4a|と、ととと、友達って……それもランドソル中の子ども全員と……？でも、『トイキングJr.』を暴れさせてるだけじゃないですか……？
vo_adv_5068005_007.m4a|トイキングさん……もしかして自分が捨てられたと思ってるんですか……？
vo_adv_5068005_009.m4a|そ、それは違います……違うんです！トイキングさんは、捨てられてなんかいませんっ！
vo_adv_5068005_010.m4a|工場に届けられたのは、持ち主が、あなたのことを大切に思っていたからで……
vo_adv_5068005_011.m4a|大人になった持ち主は、あなたが子どもに長く愛され、ずっと遊んでもらえるようにと願って……
vo_adv_5068005_012.m4a|修理して新しい持ち主の手に渡すために、工場に送ったんです……！
vo_adv_5068005_013.m4a|それからトイキングさんが見た壊れたおもちゃたちだって、みんなそうなんです……！
vo_adv_5068005_014.m4a|だから、捨てられただなんて言わないでください……！
vo_adv_5068005_020.m4a|そ、そんな……ぼっち精神をJr.たちに分け与えるだなんて……私よりも強い孤独を、トイキングさんは……！
vo_adv_5068005_025.m4a|そんな……そんなの全然楽しくないよ……！
vo_adv_5068005_034.m4a|ええ～～！？トイキングさんたちが集まって、大きくなっていくっ！？
vo_adv_5068005_036.m4a|あわわわわ……！　トイキングさんたちが合体しちゃいました〜！？
vo_adv_5068005_043.m4a|はい……今のトイキングさんは、子どもと遊ぶことを勘違いしています……！
vo_adv_5068005_051.m4a|ま、待ってください……！
vo_adv_5068005_053.m4a|あ、あの……トイキングさん！あなたの考える友情って……なんですか？
vo_adv_5068005_055.m4a|ぼっちの私が言えたことじゃありませんけど、トイキングさんの言う友情って、あんまり素敵な感じがしません……
vo_adv_5068005_057.m4a|だって友情って、友達同士がお互いに感じるものだと思うんです！
vo_adv_5068005_058.m4a|でも、あなたのは、自分勝手な思いを一方的に押し付けて、子どもたちを振り回しているだけです……
vo_adv_5068005_059.m4a|さっき『トイキングJr.』たちを回収した時、ランドソルのあちこちで、泣いている子どもたちを見てきました……
vo_adv_5068005_060.m4a|私にはそれが、友達同士で仲良く遊んでいるようには見えませんでした……
vo_adv_5068005_064.m4a|そ、そうですけど……
vo_adv_5068005_067.m4a|そ、それは……！
vo_adv_5068005_068.m4a|たしかにあなたの言う通り、マイフレンドくんを作ったのは、友達作りの練習台としてでした……
vo_adv_5068005_069.m4a|で、でも……！　このバイトを始めてから、マイフレンドくんを前よりもずっと大事に思うようになりました……！
vo_adv_5068005_070.m4a|カスタムするために働くのも楽しかったし、トイフレンドくんたちが作られて、友達の輪が広がったことも、自分のことのようにうれしく思ったよ……！
vo_adv_5068005_071.m4a|けど……けど……トイキングさんの言う通りなのかも……
vo_adv_5068005_072.m4a|マイフレンドくん……今まで練習台として、都合のいいように扱ってごめん……
vo_adv_5068005_073.m4a|あなたは、私のこと……どう思ってるんだろう……
vo_adv_5068005_074.m4a|ずっとずっと昔から、あなたは私の大切な……ぐすっ……
vo_adv_5068005_081.m4a|リ、リーダーさん……団長さん……
vo_adv_5068005_082.m4a|『だいじょぶマイフレンドくん』……ううっ……！
vo_adv_5068006_001.m4a|え……？　ええっ？だだだ、誰ですか？
vo_adv_5068006_004.m4a|ええ～～～っ！？
vo_adv_5068006_007.m4a|あ、ああ、あの時みたいに、ぼっち精神が極まって…………？
vo_adv_5068006_009.m4a|友情……？　わ、わわ、私とのですか……？ぼっちの私にそんな力あるわけが……
vo_adv_5068006_015.m4a|マイフレンドくん……！
vo_adv_5068006_019.m4a|わ、わわ、分かった……！マイフレンドくんがいるから、がんばれそうだよ……いこうっ！
vo_adv_5068006_031.m4a|はああっ！！
vo_adv_5068006_034.m4a|ほ、ほんと！？えへへ、友達に褒められちゃった……うれしいな、うれしいなっ♪
vo_adv_5068006_036.m4a|うんっ！
vo_adv_5068006_039.m4a|ひぃっ！？
vo_adv_5068006_043.m4a|リーダーさん！？
vo_adv_5068006_054.m4a|わ、私も……も、もう……こっちの攻撃も全然効いてないですし……勝てるんでしょうか……？
vo_adv_5068006_056.m4a|そ、そうですよね……こんなところで諦めたら、ＢＢ団失格ですもんね……！
vo_adv_5068006_057.m4a|トイキングさん……！私たちは、子どもを傷つけるおもちゃを作ったつもりはありません……！
vo_adv_5068006_058.m4a|私たちの仕事は、子どもの笑顔のために……！楽しく遊んでもらえてることに、喜びを感じるんです……！
vo_adv_5068006_061.m4a|みんな……？マイフレンドくん、誰に話しかけてるの？
vo_adv_5068006_063.m4a|と、友達……？　ど、どこにいるの……？
vo_adv_5068006_066.m4a|ええっ！？　工場で作った、あの……？そそそ、空を飛んできましたよ！？
vo_adv_5068006_069.m4a|と、とと、友達の輪が広がっちゃいました……！こんな夢みたいなこと……本当に起きちゃうなんて……すごすぎますっ！
vo_adv_5068006_077.m4a|マイフレンドくんとトイフレンドくんたちが、手をつなぎ合った……！？
vo_adv_5068006_079.m4a|ふふっ。これで仲直りだね……！
vo_adv_5068006_080.m4a|『さいきょうマイベストフレンドくん』、ありがとう……！おかげで助かったよ！
vo_adv_5068006_082.m4a|マイフレンドくんっ！？　合体が……だ、だだ、大丈夫？
vo_adv_5068006_084.m4a|マイフレンドくん……
vo_adv_5068006_086.m4a|大丈夫だよ、マイフレンドくん。
vo_adv_5068006_087.m4a|これからも変わらず私のとも──
vo_adv_5068006_089.m4a|え、へへ……そうだよね……
vo_adv_5068006_094.m4a|うん、約束……絶対だからね！指切りなんて必要ないよっ！
vo_adv_5068007_000.m4a|──というわけで、トイフレンドくんたちもエネルギーが切れた途端にバラバラになって、元通りのおもちゃに戻りました。ちょっと傷がついたりしてますけど……
vo_adv_5068007_003.m4a|トイキングさんは、最後に本当の友情を思い出したって……だから、もう暴れたりすることはないはずです。
vo_adv_5068007_012.m4a|あ、ありがとうございます……！
vo_adv_5068007_015.m4a|あ、あの……！そのことなんですけど……私も最後まで手伝わせてください！
vo_adv_5068007_017.m4a|だったら、延長とかできたりしませんか……？
vo_adv_5068007_018.m4a|もしできなくても、タダ働きでも構いませんから、最後まで私も責任を持ちたいですっ！
vo_adv_5068007_019.m4a|トイキングさんとは、仲直りできました。今ここで森に帰ったら、彼を裏切ることになるような気がします。
vo_adv_5068007_020.m4a|それって、トイキングさんが一番悲しむことですから。そんな思いを、もう二度とさせてあげたくなくて……
vo_adv_5068007_021.m4a|それに、『みんなのトイフレンドくん』たちも、私の大切な……
vo_adv_5068007_022.m4a|だからお願いします！　みんなの修理を最後までさせてください！タダでもダメなら、逆に私がお金を払ってでも……！
vo_adv_5068007_025.m4a|はいっ！
vo_adv_5068007_034.m4a|はいっ！
vo_adv_5068007_035.m4a|……マイフレンドくん、トイキングさん。ちょっと待っててね。すぐに直してあげるから。
vo_adv_5068007_037.m4a|ど、どうぞ……！
vo_adv_5068007_043.m4a|はいっ！じゃあ……これで私たちのバイトもおしまいですね。
vo_adv_5068007_044.m4a|マイフレンドくんもカスタムできたし、目的達成ですっ！
vo_adv_5068007_045.m4a|初めは工場長にお願いしようと思ってたんですが、やっぱりこの子だけはどうしても自分で直したくて……
vo_adv_5068007_046.m4a|手間暇をかけ、材料をこだわりにこだわり抜いたら、ものの見事にバイト代が全部……一文無しの一文字さんです。
vo_adv_5068007_047.m4a|でも後悔はありませんっ！マイフレンドくんのために始めたアルバイトでしたから！
vo_adv_5068007_054.m4a|わ、わわ、私のほうこそ、大変お世話になりましたっ！
vo_adv_5068007_056.m4a|せ、戦友！？そ、その差し出した手は、お互いの健闘を称え合う戦友の握手っ！？
vo_adv_5068007_058.m4a|そ、そんな私はバイトの下っ端の下っ端ですから、バイトリーダーさんとなんて恐れ多くて、戦友だなんて名乗れませんっ！
vo_adv_5068007_059.m4a|私には８万年早すぎの早寝早起き朝方早杉さんです！！！
vo_adv_5068007_063.m4a|は、はい！　なんでしょうか！？
vo_adv_5068007_067.m4a|ビ、ビジネスパートナー……！？もし成功すれば、マイフレンドくんをもっとかっこよくできるかも……！
vo_adv_5068007_068.m4a|マイフレンドくんもいいって言ってますし、よろこんで！タマキさんっ！　こちらこそよろしくお願いしますっ！！
vo_adv_5068007_072.m4a|はい！　ミサト先生にも報告しておきます！
vo_adv_5068007_075.m4a|はい！　それでは森に帰ります！みなさん、お元気で～！
vo_adv_5068007_076.m4a|ふう～、久しぶりに森に帰るね。
vo_adv_5068007_077.m4a|カスタムしたマイフレンドくんを見て、先生たちはなんて言うかな～？きっとかっこよくなったって言ってくれるよね！
vo_adv_5068007_078.m4a|色んなことがあったアルバイトだったけど、楽しかったなあ～うんうん……そっか、マイフレンドくんも楽しかったみたいだね！
vo_adv_5068007_079.m4a|それにしても、友達100体はすごいよ！マイフレンドくん、一気にリア充の階段を上ったね！
vo_adv_5068007_080.m4a|……よし！　私も人間の友達を作らなくちゃ！そしたら、マイフレンドくんにもちゃんと紹介してあげるから！
vo_adv_5068007_081.m4a|友達作りの特訓メニューを考えながら、森に帰ろっと♪る〜らる～ら〜♪
vo_adv_5068007_083.m4a|ひぃっ！？ぴよよよよよ～～～～♪
vo_adv_5068007_085.m4a|ご、誤魔化せませんでしたか……帰り道にカツアゲに遭うなんて、ついてません……
vo_adv_5068007_086.m4a|しょ、所持金なら、すっからかんですよ……？
vo_adv_5068007_088.m4a|ほほ、本当ですよ！　疑っているなら証明してみせましょう！ぴょーん！　ぴょーーん！！
vo_adv_5068007_089.m4a|ほ、ほらっ！　一文無しだから、お金の音なんてしないでしょう？ぴょぴょぴょーーーーん！！！！
vo_adv_5068007_091.m4a|え、えっと……
vo_adv_5068007_092.m4a|マ、マイフレンドくん、どどどどうしよう～！変なところを見られてしまいました～！
vo_adv_5068007_093.m4a|ダメな大人の手本として、この子の記憶の中に永遠に残ってしまうんでしょうか？
vo_adv_5068007_095.m4a|そ、そうだよね……人間の友達作りのチャンスだね……！
vo_adv_5068007_096.m4a|さっき、マイフレンドくんに誓ったんだもん。友達ができたら紹介したいって……！
vo_adv_5068007_097.m4a|だからここでがんばらないと……！
vo_adv_5068007_098.m4a|勇気をもらうね、私の最高のマイフレンド……！
vo_adv_5068007_100.m4a|だだ、大丈夫です！こう見えて、エルフの森で野菜中心の食生活を送っていますから、健康には自信があるんですよ！
vo_adv_5068007_102.m4a|あうう……そ、そうじゃありませんよね……！
vo_adv_5068007_104.m4a|こここ、この子は、『だいじょぶマイフレンドくんＶ４カスタム』といって……私の友達ですっ！
vo_adv_5068007_105.m4a|よよよ、良かったら……あの、その……私と……ううんっ！
vo_adv_5068007_106.m4a|私たちと一緒に遊びませんか？
vo_adv_5068101_000.m4a|と、とと、友達作りの練習を始めるよ……！今日もよろしくね、『だいじょぶマイフレンドくんＶ４』……！
vo_adv_5068101_002.m4a|まずは、握手の練習から……きき、緊張するなあ……ふう〜……
vo_adv_5068101_003.m4a|せーの……どどど、どうも初めまして〜〜〜！！
vo_adv_5068101_004.m4a|ひょわあ～！　き、緊張しちゃって力加減が……！マ、マイフレンドくんを壊しちゃいました～！！
vo_adv_5068101_005.m4a|ご、ごめんね、マイフレンドくん……！
vo_adv_5068101_006.m4a|どどどど、どうしよう……作り直すのは時間がかかって大変だし……申し訳ないし、修理したほうが良いのかな……
vo_adv_5068101_007.m4a|直すなら、お詫びにかっこよくカスタマイズしたいし……そうなると、お金だって必要だよね……？
vo_adv_5068101_008.m4a|こ、こうなったら……や、やや、やるしかないみたいですね……す、すごく怖いけど、がんばろう……！
vo_adv_5068101_009.m4a|人生初のアルバイト、始めてみます……！
vo_adv_5068203_002.m4a|ト、トイキングさん！私たちの話を聞いてくれませんか……？　お願いです……！
vo_adv_5068204_001.m4a|間違いありません……トイキングさんのぼっち精神です……！長年溜め込んでいた孤独が、あふれ出ているんです……！
vo_adv_5068204_002.m4a|早くトイキングさんを救ってあげなきゃ……これ以上寂しい思いは、させたくありません……！本当の友情を、もう一度思い出させてあげましょう……！
vo_adv_5068301_000.m4a|ト、トイキングさん……私たちの話を聞いてください！今のあなたは、子どもとの友情を勘違いしています……！
vo_adv_5068301_003.m4a|あんなでっかいのとですか！？ふ、踏みつぶされちゃいますよ〜！？
vo_adv_5068302_001.m4a|と、当然です……！　子どもたちに怖い思いをさせたくないですからっ！それに……そんなことをするのが、私たちの作ったおもちゃだなんて……耐えられません……っ！
vo_adv_5068308_002.m4a|い、いいえ……！　絶交なんてしません……絶対に……！
