vo_adv_1175001_003.m4a|ふぅん……こうなるとは思っていたけれど……想像以上の混雑っぷりね。
vo_adv_7021001_018.m4a|私の研究はそんなものばかりよ。あくまで狭い範疇にしか効果が及ばないの。
vo_adv_7021001_019.m4a|こらそこ、そんな目で見ない。いくらしょっちゅう狭い範囲の中で影響受けてるからって。
vo_adv_7021001_024.m4a|ふふっ、かわいらしいわね。からかいがいがあるわ。
vo_adv_7021001_025.m4a|なんでもないわ。気にしないで。
vo_adv_7021002_000.m4a|ふっ……！　はあっ！これで終わりよ！
vo_adv_7021002_003.m4a|あら、お世辞はいいのよ？このくらいどうってことないわ。
vo_adv_7021002_006.m4a|あら、またずいぶんと大所帯で現れたわね。トモちゃん、ここは協力して──
vo_adv_7021002_015.m4a|あら、最後の力を振り絞っただけみたいね。無事でよかったわ。
vo_adv_7021002_018.m4a|さ、魔物がまた現れる前に先に進みましょうか。
vo_adv_7021003_002.m4a|私は少し疲れちゃったからその方が助かるわ。
vo_adv_7021003_004.m4a|鍛えてるトモちゃんには余計なお世話かもしれないけど、疲れが取れる特製のハーブティーを淹れさせてもらうわね。
vo_adv_7021003_007.m4a|すぐに準備するから、ちょっと待っててちょうだい。
vo_adv_7021003_008.m4a|さぁ、どうぞ召し上がれ。
vo_adv_7021003_010.m4a|何種類も薬草をブレンドしてるからね。でも味は悪くないわよ？
vo_adv_7021003_013.m4a|ふふっ。飲んじゃったわね。
vo_adv_7021003_015.m4a|そう、それは毒草を何種類もブレンドした特製のお茶。さぁ、どんどん体から力が抜けていくはずよ。
vo_adv_7021003_017.m4a|なーんて、冗談よ。毒なんてないわ。リラックス効果はあるけどね。
vo_adv_7021003_019.m4a|だってトモちゃん、さっきからずーっと私のことを警戒してるんですもの。
vo_adv_7021003_020.m4a|魔物だけじゃなくて私にまで気を張ってたらこの先持たないわよ？
vo_adv_7021003_022.m4a|当然よ。だてに経験を積んでないからね。
vo_adv_7021003_024.m4a|謝ることじゃないわ。それがトモちゃんのお仕事だもの。
vo_adv_7021003_025.m4a|それに、毒草を何種類もブレンドしたっていうのは、嘘じゃないし。
vo_adv_7021003_027.m4a|高温で炒ったから毒は飛んでるけどね。塔の外で話した、毒も薬も使いようっていうのを身をもって体験してもらおうかな、って。
vo_adv_7021003_029.m4a|あ、また信用できないって顔してるわね。それならそのお茶を貸してちょうだい。
vo_adv_7021003_030.m4a|ごく、ごく……ほら、これで少しは信じてもらえるかしら。
vo_adv_7021003_032.m4a|いいのよ、少し信じてもらえるだけで。今は{player}君の記憶の手がかりを探す仲間なんですもの。
vo_adv_7021003_034.m4a|ところで、{player}君。ずいぶんと物欲しそうな顔してるわね。
vo_adv_7021003_035.m4a|そうよね。私とトモちゃんだけ飲んで、君だけ仲間外れはつらいわよね、さぁ、お飲みなさい。このコップでね……あら、照れているの？
vo_adv_7021003_037.m4a|私はここね。さぁ、どっちから飲むのかしら。
vo_adv_7021004_000.m4a|トモちゃん、そっちに行ったわ！
vo_adv_7021004_002.m4a|お見事。ふふ。まっすぐな連携ってのも、たまには悪くないわね。
vo_adv_7021004_004.m4a|うちのギルドのメンバーはみんな曲者だからね。結果的に連携することはあっても、こんなふうにはいかないから。
vo_adv_7021004_007.m4a|ふふ。でも、毒にも薬にもならない人間が寄り集まるよりはずっといいと思うけど。
vo_adv_7021004_009.m4a|別に【王宮騎士団（NIGHTMARE）】がそうだって言ってるんじゃないわよ？
vo_adv_7021004_011.m4a|どういうことかしら？
vo_adv_7021004_013.m4a|え？
vo_adv_7021004_016.m4a|はぁ……若いってのも困りものだわ。仕方ないわね。
vo_adv_7021004_017.m4a|またこっそりと……
vo_adv_7021004_019.m4a|あら。
vo_adv_7021004_021.m4a|別に困るというほどのものではないけれど……それよりまずはあっちを対処した方がいいんじゃないかしら？
vo_adv_7021004_023.m4a|口で言うより見せた方が早いと思うけど……こんなふうに。
vo_adv_7021004_025.m4a|これはまだ実験中の毒薬なの。できれば誰にも見られたくなかったんだけど……
vo_adv_7021004_026.m4a|まさか気付かれていたとはね。ちょっと甘く見すぎてたかしら。どうするトモちゃん、私を捕まえる？
vo_adv_7021004_028.m4a|いいの？　てっきり私を捕まえる証拠を引き出すためにおバカなふりして魔物に突っ込んだんだと思ってたんだけど。
vo_adv_7021004_033.m4a|ふふ、おバカって言ったことを根に持ってるのかしら？
vo_adv_7021004_036.m4a|ん？　この毒はいずれ、検出できない毒に改良していく予定だけど？
vo_adv_7021004_038.m4a|え？
vo_adv_7021004_040.m4a|ふふ、没収されるくらいだったらこの塔の魔物に使いましょう。データも集まるし、その方が有意義だわ。
vo_adv_7021005_001.m4a|ふふっ、十分すぎるほどデータが集められて満足だわ。魔物の体もきちんと調べないと……あら？これは何かしら。
vo_adv_7021005_003.m4a|……なるほど。これが{player}君の探していた記憶の手がかりなのね。
vo_adv_7021005_072.m4a|なんだか……釈然としない夢を見ていた気がするわ……例の石の発光は収まったみたいだけど……{player}君、なにか変化はあった？
vo_adv_7021005_073.m4a|そう……ちょっと残念ね。でも、帰って精密検査をすればなにか分かるかもしれないわ。ひとまず、目標は達成したことだし、そろそろ引き上げましょう。
vo_adv_7021005_075.m4a|魔物を持ち帰って調べてみたらいいんじゃない？
vo_adv_7021005_077.m4a|ふふっ、そう簡単に捕まるわけにはいかないからね。こんな私でも、必要としてくれる人がいるから。
vo_adv_7021005_079.m4a|トモちゃんの成長の手助けができてうれしいわ♪
vo_adv_7021005_082.m4a|あらぁ、{player}君がトモちゃんの味方をするなんて、私とっても悲しいわぁ。
vo_adv_7021005_083.m4a|{player}君にも証拠を掴まれないようにいろいろと気を付けないと。いろいろと、ねぇ？
vo_adv_9004007_000.m4a|これと、これと、あとこのカンポーをあるだけちょうだい。いつもどおりの住所に送ってもらえると助かるわ。それじゃあ、お願いね。
vo_adv_9004007_001.m4a|あら、{player}君じゃない。またここで会うなんて、驚きね。私はカンポーの仕入れに来てたんだけど、君は？
vo_adv_9004007_002.m4a|ふぅん……ギルド管理協会の……まったく、お人好しなんだから。まあ、それが君の良さなんだけど。
vo_adv_9004007_005.m4a|……そんな目で見て、どうしたの？そういう人助けは私の領分じゃないんだけど……はあ……君が言うなら仕方ないわね。で、患者はどこ？
vo_adv_9004007_007.m4a|……聞き間違いだと思いたいけど、この声はもしかしなくても、ユキよね？
vo_adv_9004007_009.m4a|はあ……その話は断ったでしょう？あんまり同じ話を繰り返すと、新薬の実験につき合わせるわよ？それが嫌なら、その子を困らせないであげなさい。
vo_adv_9004007_012.m4a|まったく。こっちの頭が痛くなってきちゃうわ。さて、それじゃあそろそろ帰ろうかしら……
vo_adv_9004007_019.m4a|……はあ。まったく、君の知り合いって【トワイライトキャラバン】に負けず劣らずの面白い子たちばかりね？
vo_adv_9005012_003.m4a|あら。喧しいだなんて失礼ね？私は普段から静かにしているつもりだけど。……そっちの子たちはともかく。
vo_adv_9005012_008.m4a|記念日の贈り物なんでしょ？　気にしなくていいわよ。それより、疲れてないかしら？休まずに動ける薬があるんだけど……使ってみる？
