vo_adv_1224001_002.m4a|はい、これ。キミのサンダルかな？
vo_adv_2114008_071.m4a|身体が、金属みたいになってるの……？どうりで硬いと思ったぁ……！
vo_adv_2114008_084.m4a|ど、どうするのっ……？
vo_adv_2114008_092.m4a|特攻なんか、しちゃダメだよ……！？
vo_adv_2114008_105.m4a|もうっ、フィオちゃんってば！また無茶しようとしてー！
vo_adv_2114008_120.m4a|この子たち、こんなにたくさん来ちゃった……！
vo_adv_5042101_000.m4a|なにここ、すっごーい！見たことないものでいっぱいだよ～！！
vo_adv_5042101_002.m4a|ほらほらアユミちゃん！隠れてないで、一緒に見ようよ！
vo_adv_5084602_000.m4a|騎士くん、まだ目を覚まさないんだよね……うぅ～～心配だよぉ……
vo_adv_5084602_001.m4a|なんか元気が出ないや……いつもは騎士くんがいてくれたからかな？こんな時、騎士くんが笑ってくれたら……
vo_adv_5084602_002.m4a|う～～でもでも、あたしがこんな調子だったら逆に騎士くんに心配かけちゃうよね……うん、決めたっ。
vo_adv_5084602_003.m4a|騎士くんが起きた時、笑ってもらえるように……元気いっぱいの、とびっきりの笑顔でお迎えしなくちゃ！
vo_adv_5085004_007.m4a|コッコロちゃん、キャルちゃん、シェフィちゃん！こっちこっちー！
vo_adv_5085004_012.m4a|もちろんあたしもー！……でもさー、本当にこの塔に騎士くんを起こすための手掛かりがあるの？
vo_adv_5085004_018.m4a|レイさんはすぐ難しく考えちゃうよね～もっとリラックスリラックス～♪
vo_adv_5085004_025.m4a|あっ、もうちょっとであそこだよ！あたしたち３人が前に、変な夢を見たところ！
vo_adv_5085004_033.m4a|キャルちゃん、どうかしたの？……あれ？　なんか、キャルちゃんの体……光ってない？
vo_adv_5085004_043.m4a|うわわわわっ！？魔物がなだれ込んできてるよ～っ！？
vo_adv_5085004_049.m4a|完全に囲まれちゃってるね～これじゃあうかつに突っ込んでいけないかも……
vo_adv_5085004_051.m4a|うん、すっごい力を感じるよ……！
vo_adv_5085005_010.m4a|ユイちゃんっ……うぐっ！？
vo_adv_5085005_024.m4a|負けられないっ！騎士くんが後ろにいるんだからっ！
vo_adv_5085005_085.m4a|うんっ、うんっ！みんなだよ！　みんなが、来てくれたんだよっ！
vo_adv_5085005_153.m4a|勝ったって、こと……？
vo_adv_5096000_000.m4a|騎士くん！　今日は手伝ってくれてありがとー！おかげですっごく楽だったよー！
vo_adv_5096000_002.m4a|……そ、そうだったっけー……？
vo_adv_5096000_005.m4a|うわあああー！　ごめんなさーい！忘れてないから許してよぉレイさーん！ホントはすっごくすっごく大変でしたー！
vo_adv_5096000_008.m4a|そうそう！　そこからはもう一気にドッカーンって大逆転できたもんね！
vo_adv_5096000_010.m4a|だよねだよね！終わりよければ全部オッケー……でいいよね？
vo_adv_5096000_012.m4a|そっか……うん。ちゃんと気をつけるね！今日は騎士くんも一緒だったから、なんだか楽しくなっちゃって……えへへ。
vo_adv_5096000_014.m4a|ホントに？　よかったー！あれ、じゃあレイさんも……
vo_adv_5096000_016.m4a|騎士くんも？　みんなそうだったんだ……！えへへっ！　やっぱり楽しかったよね！
vo_adv_5096000_018.m4a|レイさん！？　やっぱり怒ってるよー！
vo_adv_5096000_021.m4a|もうー！　レイさんの意地悪ー！騎士くん、レイさんになんとか言ってよー！
vo_adv_5096000_022.m4a|ごちそうさまでしたー！
vo_adv_5096000_026.m4a|なんだろ？　一等を当てたらお皿がもらえるとかかな？
vo_adv_5096000_028.m4a|すみませーん！さっきお店でチケットをもらったんですけど、なんの抽選なんですか？
vo_adv_5096000_034.m4a|ゲームだけじゃなくてバカンスまでついてくるんですか！？えっと、ゲームってどんなことするんですか？
vo_adv_5096000_039.m4a|はいはいー！　希望しまーす！
vo_adv_5096000_043.m4a|一回だけ……これ、ほんとにあたしが回していいの？
vo_adv_5096000_046.m4a|みんな……分かった！　あたしにまかせて！ヒヨリ、引きまーす！　えーいっ！
vo_adv_5096000_051.m4a|……ホントに？　……やったー！やったよレイさん！　ユイちゃん！　騎士くん！
vo_adv_5096000_054.m4a|何言ってるのさー！騎士くんもあたしたちと一緒に行くんだよ？
vo_adv_5096000_056.m4a|チーム名は……えーっと……チームトゥインクルっと……これで！
vo_adv_5096000_058.m4a|愛するもの……ってなんですか？
vo_adv_5096000_060.m4a|そっかー！それならあたしたちが好きなものを書けばいいんだね！えっと、それなら……
vo_adv_5096000_062.m4a|そうだよね、急に聞かれても分からないよね。うーん、あたしたちみんなが好きなものってなんだろう……
vo_adv_5096000_068.m4a|２人とも何か思い浮かんでるなら書いちゃって！あたし全然思い浮かばないや。
vo_adv_5096000_071.m4a|あたしは大丈夫でーす！ユイちゃんとレイさんは？
vo_adv_5096000_077.m4a|南の島かぁ……楽しみだね！何か持っていくものってあるのかな？
vo_adv_5096000_081.m4a|なになに？　なんのお願い？
vo_adv_5096000_084.m4a|そっか！　そうだよね！それなら、あたしも買いに行きたいな！
vo_adv_5096000_086.m4a|騎士くん！？　実はね……うわわっ！
vo_adv_5096000_089.m4a|わわっ！　押さないでよレイさんユイちゃーん！騎士くーん！　水着、忘れないで持ってきてねー！
vo_adv_5096001_002.m4a|もう、二人とも心配しすぎだよー！港に着いたらきっと豪華な船で南の島にレッツゴー！　ってなるよ！
vo_adv_5096001_004.m4a|わー！　おっきな船ー！　ねえねえみんな、あれ見て！ちゃんと船が泊まってるよー！
vo_adv_5096001_006.m4a|わーい！　バカンスだー！
vo_adv_5096001_010.m4a|こんにちはー！あたしたち、南の島に招待されてます！
vo_adv_5096001_012.m4a|すごいよみんな！　お迎えの人がいる……！
vo_adv_5096001_018.m4a|はーい！うぅー！　ワクワクが止まらないよー！
vo_adv_5096001_023.m4a|レイさんユイちゃん！ここにいる人たち、みんな大会に参加するんだって！
vo_adv_5096001_033.m4a|モニカさん！　ニノンさん！　久しぶりー！元気だった？
vo_adv_5096001_042.m4a|レイさんレイさん。その人って、レイさんのお友達？ひょっとして、貴族のおかた……って呼び方でいいのかな？
vo_adv_5096001_045.m4a|よろしくね、サレンさん！　あたしはヒヨリです！レイさんとは、同じギルドの仲間なんです！
vo_adv_5096001_052.m4a|はいはーい！　あたしたちが騎士くんと一緒のチームでーす！　こんにちは！
vo_adv_5096001_054.m4a|クロエさん！　よろしくね！　騎士くんとなかよしさんなら、あたしともなかよくしてくれたらうれしいなー！
vo_adv_5096001_058.m4a|ヒヨリでっす！　よろしくね！
vo_adv_5096001_073.m4a|あたしたちもそうだけど、ここにいる人たちみんな、騎士くんと仲がいいんだ……すごいなぁー……
vo_adv_5096001_087.m4a|そうなんだ……！
vo_adv_5096001_089.m4a|騎士くんって……こんなにたくさんの人と仲良くなれるんだね！
vo_adv_5096001_099.m4a|き、騎士くんへの……？
vo_adv_5096001_111.m4a|ア、アユミちゃんたちのチーム、すっごく強そう……！
vo_adv_5096001_119.m4a|愛するもの……そう言えちゃうくらい大事なものって……
vo_adv_5096001_121.m4a|えっとえーっとぉー……は、はいはーい！　あたしたちの、友情ですっ！
vo_adv_5096001_122.m4a|騎士くんへの愛がありだったら、友情だってOKだよね？
vo_adv_5096001_126.m4a|シズルさんたち、騎士くんのこと話す時、とってもうれしそうだった！　すごいなー！よーし、あたしも……！
vo_adv_5096001_132.m4a|いよいよだね、騎士くん！　どっちに乗ろっか？
vo_adv_5096001_138.m4a|……騎士くん？　どうしたの？
vo_adv_5096001_139.m4a|じゃああたしたちもこっちに乗ろっか！レイさんとユイちゃんもいいよね？
vo_adv_5096001_146.m4a|うん！　競い合うのは島に着いてからだもんね！
vo_adv_5096001_149.m4a|……お姉さんズ？
vo_adv_5096001_154.m4a|レイさん！？まさかの裏切りとかじゃないよね！？
vo_adv_5096001_193.m4a|なになに！？　どうしたの！？
vo_adv_5096001_201.m4a|じゃああの煙は……？
vo_adv_5096001_210.m4a|うん。ゲームがもう始まってたんだね……なんかワクワクしてきちゃった！
vo_adv_5096001_212.m4a|さっすが騎士くん！　よーし！みんなで次のゲームもがんばっていこー！
vo_adv_5096002_001.m4a|騎士くん！　荷物置いて着替えたら、ホテルの前に集合ね！　行こ！　レイさん、ユイちゃん！
vo_adv_5096002_003.m4a|冷たーい！　あははっ！気持ちいいー！　それっ！
vo_adv_5096002_005.m4a|ひゃあっ！　ユイちゃんやったなー！倍返ししちゃうぞー！　うにゃっ！
vo_adv_5096002_007.m4a|ふにゃあぁぁぁっ！ま、参りましたー……
vo_adv_5096002_008.m4a|ええっ！　騎士くんまでー！？もう許してよー！
vo_adv_5096002_010.m4a|ええーっ！　もう次のゲームなの？もうちょっと遊びたかったなー
vo_adv_5096002_012.m4a|なにをー！？　レイさん！あとでもっかい勝負だよ！
vo_adv_5096002_035.m4a|レイさんとあたしは経験者みたいだね！ユイちゃんはバレーってやったことある？
vo_adv_5096002_038.m4a|あわわっ！　はーい！　今行きまーす！どんな人たちと対戦できるのか楽しみだね！
vo_adv_5096002_039.m4a|……
vo_adv_5096002_051.m4a|みんな楽しそうだね、騎士くん！あたしたちもスポーツマンシップにのっとって頑張ろうね！
vo_adv_5096002_054.m4a|レイさん！　最初のサービス、ガツンと決めちゃえー！
vo_adv_5096002_059.m4a|オッケー！　ヒヨリスーパージャーンプ！
vo_adv_5096002_064.m4a|いたたた……手がビリビリしびれちゃってるよー……
vo_adv_5096002_072.m4a|急に曲がった！？　あたしじゃ拾えないっ！
vo_adv_5096002_079.m4a|ドンマイ二人とも！　次取り返そう！
vo_adv_5096002_082.m4a|あうっ！　いたたた……重いし、すっごく速い……！
vo_adv_5096002_085.m4a|ええーっ！？ボールの出所が分からないよー！
vo_adv_5096002_092.m4a|ユイちゃん危ない！言葉もボールも直球すぎるよー！
vo_adv_5096002_095.m4a|あたしにまかせて！　うにゃーっ！
vo_adv_5096002_097.m4a|ああっ、入っちゃった……みんなごめん、あたしがちゃんと取れてたら……
vo_adv_5096002_098.m4a|はぁ、はぁ、はぁ……さあ、次だよ次……！
vo_adv_5096002_102.m4a|え？　う、うん！　分かった！
vo_adv_5096002_104.m4a|これならあたしが……ってダメダメ！ユイちゃん騎士くん！　どっちかお願いっ！
vo_adv_5096002_108.m4a|ありがとレイさん！　今までのお返しだぁー！ヒヨリバーニングスパーイクッ！
vo_adv_5096002_110.m4a|今のでダメなの！？
vo_adv_5096002_127.m4a|ユイちゃーん！！
vo_adv_5096002_152.m4a|えーっと……それって、あたしと違って騎士くんには、すごいサーブを当てたくないから？
vo_adv_5096002_155.m4a|あたしも！　レイさんを信じて頑張るよ！
vo_adv_5096002_170.m4a|やったー！　勝てたー！
vo_adv_5096003_000.m4a|ごくごく……ぷはーっ！いっぱい運動した後は飲み物がおいしいね！
vo_adv_5096003_003.m4a|モニカさん！　さっすが軍人さん、詳しいね！あたしもお菓子でエネルギー回復しよーっと♪
vo_adv_5096003_014.m4a|あたしたちだって負けないよー！
vo_adv_5096003_018.m4a|？あたしじゃないよ？
vo_adv_5096003_028.m4a|イリヤちゃん……じゃなくて、イリヤさん！負けちゃったんですか？
vo_adv_5096003_052.m4a|はーい！　簡単そうなゲームで良かったね！
vo_adv_5096003_063.m4a|えっとえーっと……ユイちゃんはどっちがいい！？
vo_adv_5096003_065.m4a|オッケー！　とりあえず下でいってみよー！きっと大丈夫！
vo_adv_5096003_069.m4a|……また同じだね。なんとかして当てられないのかな？
vo_adv_5096003_072.m4a|ううぅー……体を動かすのは得意だけど、こういうのは苦手だよー！
vo_adv_5096003_074.m4a|うにゃー……違っちゃったー……
vo_adv_5096003_076.m4a|ええーっ！？　あ、あたしたちは……？
vo_adv_5096003_078.m4a|……声がかからない？やったね！　残りもこの調子で当てちゃおー！
vo_adv_5096003_083.m4a|わわっ！？早く選ばないと！
vo_adv_5096003_094.m4a|あーあ……誰かが教えてくれたらいいのになー……
vo_adv_5096003_100.m4a|あたしたちにも教えてくれたらいいのにね！なんちゃって……
vo_adv_5096003_102.m4a|あたしたちに？　どうやって？
vo_adv_5096003_110.m4a|すごい……すごいよユイちゃん。あたし、全然気がつかなかった……
vo_adv_5096003_128.m4a|大丈夫だよ！　もし大変なのがきても、今度はあたしがバッチリ活躍するから！　ねっ！
vo_adv_5096003_130.m4a|もちろん！ヒヨリ、もっともーっと頑張っちゃうよー！
vo_adv_5096004_005.m4a|ご飯食べられるかなー？　お腹はたしかに減ってるけど、今日はもうベッドに寝転ぶだけで、ぐっすりできちゃいそうー……
vo_adv_5096004_019.m4a|みんな集まって、すっごく賑やかになったね！
vo_adv_5096004_033.m4a|ユイちゃんレイさん、あたしたちもマコトさんを手伝おう！
vo_adv_5096004_046.m4a|ユイちゃん、ホントに騎士くんがいなくてもよかったの？
vo_adv_5096004_048.m4a|……？
vo_adv_5096004_050.m4a|うん。ありがとう。
vo_adv_5096004_052.m4a|はいっ！　その前に、あたしからいいかな？
vo_adv_5096004_054.m4a|えっとえっとー……今日はごめんなさい！あたし、全然みんなの力になれなくて……
vo_adv_5096004_055.m4a|ビーチバレーではレイさんに助けてもらったし、ハイ＆ローもユイちゃんのおかげだし……
vo_adv_5096004_058.m4a|……あたしのことじゃなかったの？
vo_adv_5096004_069.m4a|……？　どういうこと？
vo_adv_5096004_076.m4a|あ、あたしも同じだよ……！今日だって、騎士くんといろんなゲームができて楽しかったし……
vo_adv_5096004_077.m4a|でも……今ユイちゃんレイさんが話してるのは、そういうことじゃ……ないんだよね？
vo_adv_5096004_081.m4a|あたしは……ユイちゃんみたいな好きっていうのが、まだよく分からなくて……騎士くんと一緒にいるのは楽しいし、ドキドキする時もあって……
vo_adv_5096004_082.m4a|でもね……それってすごくいけないことじゃないかなって思うこともあって、それで……
vo_adv_5096004_084.m4a|ユイちゃん……
vo_adv_5096004_088.m4a|え、えっと……あたしは……
vo_adv_5096004_092.m4a|う、うん……分かった！　やってみる！
vo_adv_5096004_093.m4a|どうすればいいかは、まだ分かんないけど……でも二人のために、がんばらないと！
vo_adv_5096005_002.m4a|準備運動完了っと！　今日もみんなで協力して、最後までフルパワーでいっちゃおー！
vo_adv_5096005_010.m4a|アユミちゃんたちだ！バレーであんなに手強かったのに、もう一回戦わなきゃいけないなんて……
vo_adv_5096005_024.m4a|だね！　みんなでタイミングを合わせていけば大丈夫だよ！ヒヨリ、今日こそ頑張るぞー！　おーっ！
vo_adv_5096005_027.m4a|いっくよー！　せーのっ！
vo_adv_5096005_046.m4a|させないよー！　あたしたちももっと早く……！
vo_adv_5096005_049.m4a|でもどんどん離されちゃいそうだし……！このままテンポをあげれば、すぐに追いつけるよー！　それーっ！
vo_adv_5096005_051.m4a|あたしたちなら、大丈夫っ！
vo_adv_5096005_052.m4a|あ、あれっ？　急に動かなくなっちゃった……！？よいしょーっ……！！
vo_adv_5096005_054.m4a|……え？あたし今、そんなことしてた……？
vo_adv_5096005_057.m4a|違うよ、ユイちゃんのせいなんかじゃない……！あたしはただ、みんなとゲームに勝ちたくて……やっとみんなを勝たせてあげられるって……
vo_adv_5096005_058.m4a|そうすればユイちゃんもレイさんも喜んでくれるし、騎士くんともっと楽しく……
vo_adv_5096005_060.m4a|で、でも……えっと……みんなで楽しく過ごすためにはゲームに勝たないと……じゃなくて、あ、あれ？　自分の気持ちに素直に？
vo_adv_5096005_061.m4a|ど、どうすればいいんだっけ？
vo_adv_5096005_062.m4a|それは……！　あ、あのね！え〜っとぉ〜……！！
vo_adv_5096005_071.m4a|こんなの聞いてないよー！早く舟を動かさないと……！！
vo_adv_5096005_072.m4a|でも……！
vo_adv_5096005_073.m4a|騎士くん……
vo_adv_5096005_074.m4a|……あっ。
vo_adv_5096005_075.m4a|昨日の夜にユイちゃんが言ってた気持ちって、こういうこと……なのかな？
vo_adv_5096005_076.m4a|ユイちゃんとレイさんのためにがんばらなきゃって思ってたけど……違う……かも。
vo_adv_5096005_077.m4a|あたしはあたしのために……がんばりたいんだ。騎士くんへの素直な気持ちってこういうときのことなんだ。
vo_adv_5096005_078.m4a|……ありがとう、騎士くん。
vo_adv_5096005_079.m4a|でも、あたしは……
vo_adv_5096005_080.m4a|ユイちゃん！　レイさん！
vo_adv_5096005_083.m4a|あたし、自分の気持ちに素直になる！
vo_adv_5096005_085.m4a|好きな気持ち、好きになってほしいって気持ちの大切さ……自分の気持ちだけじゃ、上手くいかないんだ。そっか、そうなんだ……うん。なんだか心も体もスッキリしてきた！
vo_adv_5096005_086.m4a|やっぱり今はユイちゃんとレイさん、それに騎士くんのためにがんばりたい！
vo_adv_5096005_087.m4a|それがあたしの気持ち！その先のことはまだ分からないけど、うん！
vo_adv_5096005_092.m4a|オッケー！えへへ、お待たせレイさん！　ユイちゃん！騎士くん！　ヒヨリ、大大大復活だよ！
vo_adv_5096005_093.m4a|うん！　みんなまとめて追い抜いちゃおう！いっくよー！　せぇーのっ！
vo_adv_5096005_124.m4a|うわわわっ！　すっごい速さで曲がってくるよ！このままじゃ追いつかれちゃう！
vo_adv_5096005_126.m4a|騎士くん……よーし！　このまま曲がりきっちゃおう！みんな、タイミング合わせていっくよー！うにゃにゃにゃー！
vo_adv_5096005_130.m4a|──レイさん。あたしね、急ぐのは大事じゃないって分かったんだ！だから、これで大丈夫！
vo_adv_5096005_136.m4a|モニカさんが舟から吹っ飛んじゃったー！？
vo_adv_5096005_142.m4a|……勝ったー！勝った勝ったー！勝ったよみんなー！
vo_adv_5096005_145.m4a|今ならあたし、どんなチームが相手でも勝てちゃいそう！ごめんねユイちゃん、レイさん。あたし、やっと追いつけた気がする！
vo_adv_5096006_001.m4a|支配人さん！　ありがとうございます！あたしたち、優勝できちゃいました！
vo_adv_5096006_016.m4a|……なんか、こうなってよかったのかも！
vo_adv_5096006_040.m4a|オッケー！　全力でいくから、よろしくね！
vo_adv_5096006_044.m4a|一気に全力で駆け抜ける！
vo_adv_5096006_052.m4a|はっ！　はっ！　はっ！　はっ！　はっ！　はっ！
vo_adv_5096006_054.m4a|騎士くん！　……だめだめ！今は助け合うんじゃなくて、競い合ってるんだ！
vo_adv_5096006_058.m4a|レイさん……！　あたしだってぇええええ！
vo_adv_5096006_066.m4a|もうすぐ旗に手が届く……あたしがゴールしちゃっていいのかな。
vo_adv_5096006_067.m4a|……おかしいな。あたし、全然走るのやめてない。それどころか……もっと早く走りたい！
vo_adv_5096006_068.m4a|そうだよ！　対等に、全力で戦ってくれたみんなのためにも、全力を出し切って勝ちたい！　勝たなきゃだめなんだ！
vo_adv_5096006_069.m4a|それが……それがあたしの、愛だから！
vo_adv_5096006_078.m4a|魔物！？　みんなが危ない！
vo_adv_5096006_090.m4a|間に合ったパーンチィ！
vo_adv_5096006_091.m4a|っ間に合ったー！！
vo_adv_5096006_094.m4a|二人ともケガはない！？もしかして動けない！？
vo_adv_5096006_096.m4a|騎士くんナイスー！　あたしが走り出してたの、分かってくれてたんだね！　ユイちゃん、回復お願い！
vo_adv_5096006_109.m4a|あのタツノコさんたち、ものすごい勢いでこっちに向かってくるよ！
vo_adv_5096006_116.m4a|みんな危ないっ！
vo_adv_5096006_120.m4a|騎士くんと一緒に、あたしたちは戦います！
vo_adv_5096006_122.m4a|だね！　ヒヨリ、いっくよー！！うにゃにゃにゃにゃー！！
vo_adv_5096006_166.m4a|早く逃げてください！　ここはあたしたちが！
vo_adv_5096007_000.m4a|てええええいっ！！
vo_adv_5096007_003.m4a|あの魔物たち、きっと仲間を助けに来たんだよ。
vo_adv_5096007_009.m4a|そう？　でも困ってるみたいだし、団長さんにお話を聞いてもらった方がいいよ！
vo_adv_5096007_012.m4a|おーい！　団長さーん！
vo_adv_5096007_016.m4a|こんなにたくさん！？　う、受け取れないよー！そうだ！　騎士くん、これあげる！
vo_adv_5096007_026.m4a|それがこの大会を始めた理由……？
vo_adv_5096007_028.m4a|愛が裏切られたって思っちゃったから、あれだけのことができちゃったんだ……
vo_adv_5096007_034.m4a|うわぁ……！
vo_adv_5096007_039.m4a|まだ恥ずかしい……よね？
vo_adv_5096007_041.m4a|……あたしね、そのお金でやりたいことがあるんだけど、いいかな？
vo_adv_5096007_042.m4a|やったー！それじゃあ、このお金、お返しします！
vo_adv_5096007_044.m4a|……あの、このお金でまた次の大会を開いてください！今度はちゃんとしたのを！　叶えたいことがある人たちのために！
vo_adv_5096007_053.m4a|あとは……すみませーん！　あたしたちと一緒に、壊れた施設を直すの、手伝ってくれる人いませんかー？
vo_adv_5096007_056.m4a|それは…………それでも、お願いします！　応急処置だけでもしたいんです！
vo_adv_5096007_081.m4a|あたしたち、どんなことをお願いされるのかな？わくわくするよー！
vo_adv_5096007_084.m4a|いいよ？
vo_adv_5096007_087.m4a|あたしは……ユイちゃんとレイさん、それに騎士くんとじゃなかったら、一番にはなれなかったと思う。
vo_adv_5096007_090.m4a|レイさん、ユイちゃん……二人がいいなら、あたしも……いいよ。じゃああたしたちのやることが決まる前に……
vo_adv_5096007_091.m4a|やり直そっか！　ビーチフラッグス！
vo_adv_5096007_097.m4a|あの人たち……今の言葉、どこかで聞いたような……たしか……
vo_adv_5096007_099.m4a|ああーっ！！　思い出したー！！
vo_adv_5096007_102.m4a|配信……えええええーっ！！！！
vo_adv_5096007_107.m4a|え、ええっ！？　だ、だって、あれって……！ええーっ！！
vo_adv_5096007_114.m4a|びっくりしたー……
vo_adv_5096007_117.m4a|でもでも、何かあったらすぐにあたしたちを気にしてくれるの、すっごくうれしいよね！
vo_adv_5096007_118.m4a|ありがとー！……それじゃあ、はじめよっか！
vo_adv_5096101_000.m4a|ふんふふーん♪　まだかなー……まだかなー……早く明日になればいいのになー♪
vo_adv_5096101_002.m4a|大丈夫だよ！　昨日あれだけチェックしたし！
vo_adv_5096101_004.m4a|あっ！　ユイちゃんありがとー！えへへ……あぶないあぶない……
vo_adv_5096101_009.m4a|うー！　早くみんなで遊びたいよー！どんなとこなんだろう、南の島のリゾートって！
vo_adv_5096203_000.m4a|やったー！魔物が海に帰っていくよー！
vo_adv_5096203_006.m4a|うんうん！　それにみんな元気に、本気で競い合うのが楽しいもんね！
vo_adv_5096204_001.m4a|島を荒らされちゃうと大会が開けなくなっちゃう……早くこの魔物たちにも帰ってもらわないと！まだまだ頑張ってこー！　おーっ！
vo_adv_5096301_001.m4a|戦えない人たちが避難するまで、あたしたちが頑張らないとだね！
vo_adv_5096301_003.m4a|そうだよー！　せっかくあたしたち、一生懸命に競い合えてたのに……
vo_adv_5096302_001.m4a|リベンジだーって感じかな？いいよー！　あたしたちが受けて立っちゃう！
vo_adv_5096302_003.m4a|うん！　気をつける！　でもなんていうか、きちんと戦ってあげたほうがいいと思う……！
vo_adv_5096308_000.m4a|うわあ……この魔物、すっごく強そうになってる……！戦えば戦うだけ強くなっちゃうとかなのかな！？
vo_adv_5096308_003.m4a|だね！　相手もフルパワーでくるみたい！あたしたちも負けないぞー！
vo_adv_5096321_000.m4a|うわわわわわっ！？なにこの魔物っ、すごい勢いで水が、水がー！
vo_adv_5096321_003.m4a|ありがとユイちゃん！レイさん、ユイちゃんが守ってくれてる間に一気に攻めよう！
vo_adv_5096322_001.m4a|でもほらレイさん！向こうはいつもの服、今のあたしたちは水着だよっ！
vo_adv_5096322_003.m4a|あるよー！　あたしたちの方が強いっ！だってここは海で、水着なんだから！
vo_adv_5096323_002.m4a|それでも、あたしたちは負けないもん！これに勝ったら、みんなで楽しく海で遊ぶんだからっ！
vo_adv_5096323_005.m4a|あたしたちと魔物と、どっちの願いが強いか！
vo_adv_5096401_000.m4a|騎士くーん！こっちこっちー♪
vo_adv_5096401_001.m4a|夏の日差しがきもちいいねー！なんか体が勝手に動き出しちゃうよー！
vo_adv_5096401_002.m4a|いこっ、騎士くん！えっ？　どこにって？
vo_adv_5096401_003.m4a|どこでも！　思いっきり体が動かせるとこ！いいからいいから、レッツゴー！
vo_adv_5096402_002.m4a|ひょっとして、あたしたちの大会を見てたのかな……？それであんなに戦いたがってたとか……？もー！　それならそうって言ってくれたらよかったのにー！
vo_adv_5096402_005.m4a|でもこれでやっとビーチが平和になったよね！それじゃあ今から、この戦いで頑張ったゲームの優勝者を発表します！優勝はなんと、騎士くんでしたー！
vo_adv_5096402_007.m4a|だってさっきの戦い、一番頑張ってたのは、騎士くんだと思うんだー！最後まで騎士くんは、後ろであたしたちを支えてくれてたでしょ？それにこの島でも、ずーっとあたしたちを助けてくれてたしー……
vo_adv_5096402_010.m4a|え、えへへへへ……ダメ、かな？
vo_adv_5096405_000.m4a|おめでとう騎士くん！30回も倒しちゃうなんて、すっごいねー！
vo_adv_5096411_003.m4a|まだまだ全然遊び足りないよー！もっと色々やりたいこととか、食べたいものとかあるのにー！時間が足りなーいっ！
vo_adv_5096411_006.m4a|でしょでしょっ！？　だったらもう、行くしかないよねっ！？時間ギリギリまで、夏の海を遊びつくしちゃおうよー！はい決まり！　よーし、レッツゴー！
vo_adv_5096700_001.m4a|呼び出されたの、あたしたちだけじゃないみたい！ほら、今回競い合ったみんなも集まってきてる！
vo_adv_5096700_006.m4a|ええーっ！これって最後にあたしたちが競い合ったゲームですよね……！？
vo_adv_5096700_011.m4a|はーいっ！やるやるーっ♪すっごく面白そー！
vo_adv_5096700_014.m4a|ユイちゃん……えへへっ、うれしいこと言ってくれるなー！でもでもあたし、負っけないよー？
vo_adv_5096701_000.m4a|ふぅっ！　走ったー！もうヘトヘトだよー……！
vo_adv_5096701_003.m4a|えへへ、ユイちゃんすごかったね～！　すっごいガッツだった！レイさんも仕掛けに動揺してなくて、冷静だったよね。
vo_adv_5096701_007.m4a|さあさあ、次のレースはどんな感じかなっ？今度はあたしがぶっちぎりで一番取っちゃうよー！
vo_adv_7023000_000.m4a|ここがルナの塔かあ……思ってたより大きいんだね。
vo_adv_7023000_001.m4a|ここに騎士くんの記憶を取り戻すヒントがあるんだね。よーし、頑張って登ろー！
vo_adv_7023000_002.m4a|ふっふっふーユイちゃんもレイさんも来たことあるって聞いてたからね。あたしも騎士くんのお手伝いがしたかったんだ。
vo_adv_7023000_003.m4a|それじゃあさっそく……あれ？何か聞こえない？
vo_adv_7023000_006.m4a|あれ？【王宮騎士団（NIGHTMARE）】のマツリちゃん……だよね？どうかしたの？　もしかして、なにか事件の調査？
vo_adv_7023000_008.m4a|わざわざ追いかけてきたってことは……なにか理由があるの？
vo_adv_7023000_011.m4a|あたしはもちろん賛成だよ！よろしくね、マツリちゃん！
vo_adv_7023000_014.m4a|うんうん、何回か一緒に戦ったこともあるし頼りになるのは知ってるよ。よろしくね、マツリちゃん。
vo_adv_7023000_016.m4a|そうだね。えへへ、あたし、マツリちゃんとは一度ゆっくりお話ししたかったんだ。
vo_adv_7023000_018.m4a|戦いの場以外でも、ランドソルでマツリちゃんのことちょくちょく見かけてて気になってて。
vo_adv_7023000_020.m4a|マツリちゃん一人でいたから違うんじゃないかなあ。獣人の居住区のほうでなんだけど……マツリちゃんの家もあのあたりなんだよね？
vo_adv_7023000_022.m4a|あたしね、マツリちゃんが道に迷ってる人の案内をしたり、落とし物を探してあげたりしてるのを見かけてたんだ！
vo_adv_7023000_026.m4a|実はそうなんだ。あー、あたしと同じことしてる子がいるなって思って。だから一緒に冒険できてうれしいな。
vo_adv_7023000_028.m4a|改めてよろしくね、マツリちゃん。一緒に騎士くんの記憶を取り戻すお手伝いをしよう！
vo_adv_7023000_030.m4a|おー！
vo_adv_7023001_001.m4a|そうだねー……マツリちゃん！　後ろ！
vo_adv_7023001_003.m4a|うん！　よし、それじゃあマツリちゃん、いっくよー！あたしがサポートするから、好きに動いて！
vo_adv_7023001_007.m4a|大丈夫！あたしに任せて！　とりゃあああっ！
vo_adv_7023001_009.m4a|マツリちゃん！　この調子でいくよ！
vo_adv_7023001_012.m4a|みんな、怪我はない？
vo_adv_7023001_015.m4a|ふっふっふ、すごいでしょ！……って言いたいところだけどたまたまっていうか……
vo_adv_7023001_016.m4a|いつもはレイさんとあたしで前衛をしてるから剣を持った仲間とのコンビネーションには慣れてるんだ。
