vo_adv_1209001_000.m4a|──な、なんじゃ、お主。もう来たのか？
vo_adv_5082004_038.m4a|しかし、道に迷っておったのは危なかったのう。わらわたちが見守っておって正解じゃったということか……
vo_adv_5082004_074.m4a|先へ進むようじゃぞ。わらわたちも追うとしよう。
vo_adv_5082004_109.m4a|まったく、嘆かわしいのう。
vo_adv_5082004_194.m4a|お主らが思っておる以上にしっかりとしておるではないか？
vo_adv_5082004_202.m4a|それにしても、あの男にもよく気付いたものよ。確かにオーマにおった買い占め未遂犯じゃな。どうやらキャルは人の顔を覚えるのが得意なようじゃ。
vo_adv_5082005_035.m4a|信じて見守るのもまた仲間の仕事じゃ。
vo_adv_5082005_039.m4a|あの顔は、まだ諦めた顔ではないのう。
vo_adv_5082005_053.m4a|なかなかの魔物じゃったのう。わらわですら苦戦したやもしれぬぞ。
vo_adv_5082005_120.m4a|あやつ、あの時の買い占め犯じゃったな……安心せい、既に眷属を放ち、後をつけさせておる。
vo_adv_5082005_123.m4a|うむ……ふざけた真似をしおって……絶対に逃がさぬぞ……
vo_adv_5082006_000.m4a|この先におるようじゃな。
vo_adv_5082006_002.m4a|たしかにそうじゃのう……む！あそこじゃ！
vo_adv_5082006_012.m4a|どうする？このまま一気に奪い返すかの？
vo_adv_5082006_015.m4a|あいわかった。逃がすでないぞ？
vo_adv_5082006_019.m4a|シェフィよ。ここまで来ておったか。よく頑張ったのう。
vo_adv_5082006_022.m4a|みなまで言わずともよい。よくぞ一人で頑張ったのう。ついてまいれ。探し物はこのすぐ先じゃ。
vo_adv_5082006_028.m4a|手を貸す？　何のことじゃ？
vo_adv_5082006_031.m4a|失態を取り戻したいのはわらわたちも同じじゃ。ダメと言うてもついてゆくぞ。
vo_adv_5082006_033.m4a|細かいことは気にするでない。伝説の吸血鬼の気まぐれとでも思っておれ。
vo_adv_5082006_038.m4a|シェフィに手を出したこと、後悔させてやろう。
vo_adv_5082006_056.m4a|主らの暴虐、この伝説の吸血鬼が確かに見届けた。覚悟はできておろうなあ？
vo_adv_5082006_062.m4a|むう……先ほどよりも何やら大きくなっておるのう。縁起物の力とやらをとりこんだせいじゃろうか。
vo_adv_5082006_076.m4a|入り混じった聖なる力が神殿の神気で増大されておるのやもしれんな。
vo_adv_5082006_079.m4a|案ずるでないわ。光と闇を兼ね備えておるのはそやつだけではない……ゆくぞ！　{player}！
vo_adv_5082006_080.m4a|聖なる夜と漆黒の夜に次ぎ、生まれ来る新年と去りゆく旧年を統べし伝説の吸血鬼イリヤ・オーンスタイン見参じゃ！
vo_adv_5082006_081.m4a|わらわの真の力……味わうがいいっ！
vo_adv_5082006_084.m4a|やったか……？
vo_adv_5082006_087.m4a|ぬうっ！
vo_adv_5082006_089.m4a|仕留めきれなんだか……全魔力をつぎ込んだというのに。
vo_adv_5082006_091.m4a|相手の削げた力はせいぜい２、３割か……
vo_adv_5082006_104.m4a|そのようじゃの……これも神殿の力のせいか……
vo_adv_5082006_113.m4a|よく来た！総攻撃をかける！　力を貸せい！
vo_adv_5082006_116.m4a|わらわたちが相手を崩す！後は任せるぞ！
vo_adv_5082006_119.m4a|さて、ここからが本番じゃぞ！
vo_adv_5082006_123.m4a|見事な剣の冴えじゃのう。ならばもう一度、わらわの真の力を見せようぞ！
vo_adv_5082006_124.m4a|ヴァーミリオンライジング！
vo_adv_5082006_127.m4a|くははははっ！　いい度胸じゃ！それでこそ我が眷属よ！ルカよ、わらわたちで攻撃をそらすぞ！
vo_adv_5082006_144.m4a|そのようじゃの……
vo_adv_5082006_146.m4a|もう立ち去ったようじゃの。
vo_adv_5082006_150.m4a|ふむ、目が覚めたか。
vo_adv_5082006_153.m4a|どうせ買い占めに使った金もよからぬ方法で手に入れたものじゃろう。
vo_adv_5082006_157.m4a|さて、シェフィの奪われた荷物はコレかの？
vo_adv_5082006_159.m4a|そのようじゃのう。まったく、ロクでもない奴じゃ。
vo_adv_5082006_162.m4a|うむ。気にするでないわ。してシェフィ。これからどうするんじゃ？荷物は無事じゃしそのまま【美食殿】へと帰るかの？
vo_adv_5082006_165.m4a|かつてはサンタクロースをしておったわらわにはたやすいものよ。では、行こうかの。
vo_adv_5082006_169.m4a|シェフィこそ、よくぞ最後までやり遂げたの。
vo_adv_5082006_173.m4a|礼なぞいらぬわ。それよりも、みなシェフィを待っておるぞ？
vo_adv_5082006_176.m4a|礼などいらぬと言うておろうに。それじゃあの！
vo_adv_5082101_001.m4a|うむ！特別なおせち料理で真の力を取り戻すチャンスやもしれぬしのう。
vo_adv_5082101_004.m4a|はーっはっはっは！　存分にわらわに頼るが良いぞ！
vo_adv_5082203_000.m4a|ぬっ！あやつ、逃げおったぞ！
vo_adv_5082301_001.m4a|下らぬ悪事に手を染めたこと……後悔させてくれるわ！
vo_adv_5082302_000.m4a|よし！　追いついたぞ！ちょこまかと逃げ回りおって……
vo_adv_5082308_001.m4a|まったく、手間をかけさせおって。
vo_adv_5082308_004.m4a|そういうわけじゃ。覚悟はできておろうな！
vo_adv_5082321_001.m4a|なんじゃ、あやつらは？どんどん集まって来おるぞ？
vo_adv_5082322_000.m4a|なんじゃ、この気配は……！急にあやつの力が増しおったぞ。これが縁起物の力なのか……？
vo_adv_5082322_003.m4a|よくぞ言ったシェフィ！ならば、その意気に応えねばならぬな！
vo_adv_5082323_001.m4a|ふん、実力勝負というわけか。ならば負ける要素はないな！正面から叩き潰すのみ！
vo_adv_5082323_004.m4a|任せるがよい！
vo_adv_5082402_001.m4a|そのようじゃな。手こずらせおって。
vo_adv_5082402_005.m4a|うむ、ならばありがたくいただこうかのう。
vo_adv_5082404_000.m4a|なに？もう20体も倒したのか？大したものじゃのう。
vo_adv_5082411_002.m4a|色々なことがあったのも事実じゃがのう。奪われた材料を取り返すのは大変じゃったが……
vo_adv_5082411_004.m4a|気にするでないわ。わらわはいつもと違った面子での旅、楽しかったぞ。おせち料理も美味しかったしのう。
vo_adv_5082600_004.m4a|はーっはっはー！あけましておめでとうじゃぞ！
vo_adv_5084640_000.m4a|ええい、さっさと目覚めよというに。わらわを放って、いつまで眠りこけておるつもりなのじゃ、我が眷属よ……
vo_adv_5084640_001.m4a|……あやつがおらぬと、わらわは退屈で仕方がない。心にぽっかり穴が開いたようで、胸騒ぎがして落ち着かぬ。気づけばあやつのことばかり考えてしまう……
vo_adv_5084640_002.m4a|わらわをこれほどまでに執着させるとは……ふふ、吸血鬼の長い生涯をもってしても、こんなことは初めてじゃな。
vo_adv_5085002_022.m4a|邪魔するぞ。
vo_adv_5085002_023.m4a|まったくあやつめ。最近姿を見せぬからなにかと思えば、眠りこけておるとはな。
vo_adv_5085002_024.m4a|別に心配というわけではないが、夜を統べる者として、眷属の体調を見ておかなくてはな！
vo_adv_5085005_039.m4a|まったく、手間のかかる眷属じゃの。お主がいなければ本来の力は出せぬが……十分じゃろ。【悪魔偽王国軍（ディアボロス）】の力に恐れおののくがいいわ！
vo_adv_5096001_078.m4a|ほう……ホマレの言ったとおりじゃのう。たしかにあやつがここにおるではないか。
vo_adv_5096001_147.m4a|うむ！　わらわたちはチーム大人のお姉さんズとして参加しておる！
vo_adv_5096001_150.m4a|な、なんじゃ！　その目は！どこからどう見ても大人のお姉さんズではないか！
vo_adv_5096001_158.m4a|わらわも最高の釣り道具を欲しておったのじゃ。海に眠る秘宝とやらを釣りあげてほしくてのう。
vo_adv_5096003_027.m4a|なんじゃホマレ、その猫に敗北を慰めてもらうつもりか？
vo_adv_5096003_029.m4a|そうなのじゃ……そこな団長は鎧のせいでボールがあらぬ方へ飛んでいく上、龍の娘は球技が苦手ときた。
vo_adv_5096003_033.m4a|そうじゃな。すっかり暇になってしまったし、お主たちの奮戦を肴に宴といくか。
vo_adv_5096004_013.m4a|ならばお主も同じものを食うてみればよいではないか。なぁに、事が露見せねば良いだけの話じゃ。エリコとやら。こやつにも分けてやるがよい。
vo_adv_5096005_013.m4a|わらわは無念じゃ！元の姿に戻る方法を見つけるチャンスがまたしても潰えてしまったのじゃぞ……
vo_adv_5096005_016.m4a|おお、まことか！　そなたたちという得難い協力者を迎えられたこと、心底うれしく思うぞ！　ならば、あとはただバカンスとやらをこのまま楽しむだけじゃな！
vo_adv_5096006_027.m4a|なんじゃと！？　わらわに手を貸していたのではなかったというのか！　許さんぞ！
vo_adv_5096006_032.m4a|信頼し合っていた同胞を最後に切り捨てさせる……下種の所業よな。しかしあやつたちには通じておらぬようじゃが？
vo_adv_5096006_138.m4a|今ならあやつが近くにおるし、わらわもここで雑魚と戯れるとするかのう！夜を統べる者の力、とくと味わうがよい──！
vo_adv_5096007_073.m4a|ふむ……ヨリ。あとはまかせたぞ。わらわにはしばしの休息が必要でな……
vo_adv_9004011_000.m4a|ほう、やはり美味なものじゃな！魔力が満ちてゆくぞ……これこそ、わらわのあるべき姿……
vo_adv_9004011_002.m4a|む、やはり{player}も来たか。急いで並ぶがよい。さもなくば売り切れてしまうぞ。
vo_adv_9004011_004.m4a|ほぅ、大儀じゃな。じゃが、せっかくここまで来たのじゃ。一休みがてらお主も餅を食べていくがよい。
vo_adv_9004011_008.m4a|……どこかで見た顔じゃが、お主の知り合いか？見たところ、あまりの行列に絶句しているようじゃが……
vo_adv_9005007_000.m4a|なるほどのう、あやつへのプレゼントか。このわらわを頼ったのはいい判断じゃな。何しろわらわはあやつの主じゃからな！　はーはっはっは！
vo_adv_9005007_013.m4a|ミヤコよ……あやつへのプレゼントの相談じゃぞ……
vo_adv_9005007_015.m4a|ふむ……そうじゃな。シェフィよ。これまでも色々な者たちに意見を聞いてきたようじゃが、このままではいかんのではないか？
vo_adv_9005007_017.m4a|わらわたちにはわらわたちだけの、あやつとの関係がある。好きなもの、苦手なもの、それぞれ認識は違うじゃろう。お主がそれをいくつも聞いたとて、納得のいくものが見つかるのかの？
vo_adv_9005007_019.m4a|はっはっは！存分に感謝し、尊敬するがよい！なんならわらわの配下に加えてやってもよいのだぞ？
